account_id,customer_id,account_type,account_status,opened_date,current_balance_inr,credit_limit_inr
48,50512,Current,Closed,2022-11-24,36290.64,0.0
49,1,Savings,Active,2026-01-26,24873.64,0.0
50,87593,Current,Active,2023-11-10,5273.42,0.0
51,75454,Credit,Active,2022-11-27,11457.09,384926.47
52,107311,Savings,Closed,2026-04-25,19629.67,0.0
53,112266,Current,Active,2026-01-17,120570.32,0.0
54,71188,Credit,Active,2026-12-19,3654.99,265186.22
55,114151,Salary,Active,2024-02-20,30004.38,0.0
56,49824,Credit,Active,2023-12-12,24473.17,198269.74
57,91492,Current,Active,2024-11-03,73960.74,0.0
58,22284,Current,Active,2024-08-13,18898.0,0.0
59,11398,Savings,Active,2024-05-12,26043.05,0.0
60,113824,Salary,Active,2024-05-20,20321.96,0.0
61,88223,Current,Active,2025-11-25,113927.94,0.0
62,79347,Current,Active,2024-10-13,30717.41,0.0
63,76969,Salary,Active,2026-01-10,15773.92,0.0
64,77750,Savings,Dormant,2025-02-23,64681.13,0.0
65,70026,Current,Dormant,2025-10-15,144086.44,0.0
66,106505,Savings,Active,2025-07-27,9936.21,0.0
67,68374,Savings,Active,2023-01-07,10619.08,0.0
68,29276,Current,Active,2022-10-03,612312.92,0.0
69,29681,Savings,Active,2024-08-27,44395.74,0.0
70,21105,Current,Active,2026-03-06,29335.29,0.0
71,100191,Current,Active,2025-08-11,5362.26,0.0
72,97468,Savings,Active,2025-05-27,41491.15,0.0
73,88481,Current,Active,2025-05-30,9582.59,0.0
74,55832,Savings,Active,2025-06-09,179217.14,0.0
75,32123,Salary,Active,2024-04-30,52917.69,0.0
76,116869,Savings,Frozen,2023-03-13,83990.05,0.0
77,78986,Savings,Active,2024-03-27,8432.58,0.0
78,6600,Savings,Active,2023-07-04,15103.38,0.0
79,114402,Savings,Active,2025-10-05,31109.58,0.0
80,42298,Credit,Active,2026-05-23,14453.8,372339.62
81,9580,Savings,Active,2024-10-03,56027.49,0.0
82,33494,Savings,Active,2022-10-30,17279.27,0.0
83,114612,Current,Active,2025-06-23,43532.31,0.0
84,81050,Savings,Closed,2025-12-14,7018.76,0.0
85,24509,Current,Active,2024-11-05,21738.62,0.0
86,117761,Savings,Dormant,2023-12-25,15758.61,0.0
87,26923,Salary,Active,2026-02-11,29184.27,0.0
88,62079,Salary,Active,2026-03-25,38857.09,0.0
89,102140,Savings,Active,2024-01-02,3063.47,0.0
90,109749,Savings,Active,2024-03-21,19173.65,0.0
91,5009,Savings,Active,2025-01-13,10330.38,0.0
92,61359,Savings,Active,2025-08-29,34474.44,0.0
93,13586,Savings,Active,2023-11-19,3726.45,0.0
94,91020,Salary,Active,2025-12-11,17511.89,0.0
95,103564,Credit,Active,2025-04-18,5138.79,117205.06
96,107907,Savings,Dormant,2023-08-17,97616.16,0.0
97,71126,Savings,Active,2025-10-24,7279.72,0.0
98,85644,Current,Active,2022-07-08,33434.64,0.0
99,63998,Salary,Active,2024-08-30,6458.14,0.0
100,24423,Salary,Frozen,2024-08-27,95193.0,0.0
101,87600,Salary,Active,2025-11-02,16052.27,0.0
102,38081,Current,Dormant,2025-07-10,69120.85,0.0
103,29832,Credit,Active,2023-03-27,172235.27,312136.72
104,107215,Savings,Active,2024-09-30,9695.79,0.0
105,90784,Savings,Active,2022-03-26,5754.62,0.0
106,3589,Savings,Active,2024-09-19,63538.69,0.0
107,80309,Savings,Active,2024-07-07,9436.6,0.0
108,6067,Savings,Dormant,2023-06-16,139869.78,0.0
109,43140,Savings,Active,2025-11-18,2037.98,0.0
110,40819,Current,Active,2024-05-11,40023.54,0.0
111,31601,Current,Active,2022-12-10,8420.29,0.0
112,28571,Current,Active,2023-06-24,50106.8,0.0
113,81544,Salary,Active,2025-11-02,16287.41,0.0
114,64590,Savings,Active,2022-09-06,15821.38,0.0
115,34275,Savings,Active,2024-11-27,89436.92,0.0
116,19985,Savings,Active,2022-12-26,89217.43,0.0
117,37206,Current,Closed,2022-04-14,162868.11,0.0
118,48233,Salary,Active,2024-12-14,19860.51,0.0
119,65284,Salary,Active,2025-09-02,46908.58,0.0
120,95923,Savings,Active,2024-03-08,83277.24,0.0
121,113958,Savings,Active,2024-12-12,36405.7,0.0
122,12672,Current,Active,2024-08-21,16730.74,0.0
123,20230,Salary,Active,2023-03-20,25687.0,0.0
124,51419,Current,Active,2023-04-15,131002.66,0.0
125,65107,Savings,Active,2025-09-19,3033.21,0.0
126,56888,Current,Active,2023-01-19,12792.93,0.0
127,107251,Salary,Active,2025-04-16,77728.81,0.0
128,7406,Current,Active,2022-09-24,23478.2,0.0
129,4662,Savings,Active,2023-02-12,3538.14,0.0
130,93209,Savings,Active,2024-06-29,16453.68,0.0
131,63857,Credit,Active,2024-11-25,190030.19,487711.34
132,100287,Savings,Frozen,2024-06-21,19372.18,0.0
133,41919,Current,Active,2024-01-19,114059.31,0.0
134,57420,Credit,Active,2024-09-23,20954.61,258203.56
135,91010,Credit,Active,2025-03-17,22679.32,402103.04
136,80053,Savings,Active,2024-03-19,55239.9,0.0
137,53005,Credit,Active,2025-09-06,710745.03,201146.55
138,16822,Savings,Active,2022-06-16,56749.28,0.0
139,15996,Salary,Active,2025-04-10,517864.91,0.0
140,106356,Savings,Active,2025-09-01,12749.13,0.0
141,28750,Savings,Active,2025-04-23,25717.29,0.0
142,66498,Salary,Dormant,2023-10-19,16975.68,0.0
143,68586,Savings,Active,2024-10-21,27700.1,0.0
144,73485,Current,Active,2023-06-05,20455.8,0.0
145,76889,Current,Active,2022-11-21,35643.86,0.0
146,53971,Savings,Active,2026-01-12,7146.82,0.0
147,55168,Savings,Active,2025-07-09,4556.24,0.0
148,2328,Current,Active,2023-10-08,54677.73,0.0
149,35262,Salary,Active,2024-04-20,40500.15,0.0
150,39018,Salary,Active,2026-01-13,54949.62,0.0
151,35063,Savings,Active,2023-03-12,36024.57,0.0
152,26635,Salary,Closed,2025-07-28,48290.72,0.0
153,70874,Salary,Dormant,2025-05-11,8193.85,0.0
154,44712,Credit,Active,2022-12-29,72535.69,459833.77
155,40460,Current,Active,2025-07-27,2824.3,0.0
156,90644,Savings,Active,2025-12-21,30746.43,0.0
157,40723,Savings,Active,2025-05-06,9078.31,0.0
158,118237,Savings,Active,2024-09-17,6197.18,0.0
159,113808,Savings,Active,2025-05-15,6327.36,0.0
160,57076,Credit,Active,2024-01-09,23991.93,149208.16
161,92909,Current,Active,2022-08-13,5019.36,0.0
162,55517,Current,Active,2025-09-12,108060.85,0.0
163,42079,Current,Active,2023-04-05,19841.06,0.0
164,108920,Savings,Active,2024-08-08,24340.67,0.0
165,61552,Current,Active,2023-05-10,26561.4,0.0
166,109461,Savings,Active,2023-05-17,29572.68,0.0
167,117910,Savings,Closed,2022-11-14,4965.14,0.0
168,18803,Savings,Active,2024-08-08,124764.02,0.0
169,69709,Current,Active,2026-05-20,5086.64,0.0
170,1872,Current,Active,2022-10-05,24718.65,0.0
171,41047,Salary,Active,2024-04-04,18645.0,0.0
172,77511,Savings,Active,2026-05-09,15423.98,0.0
173,20383,Savings,Active,2023-03-01,73830.1,0.0
174,86057,Current,Active,2023-07-08,56562.66,0.0
175,65807,Savings,Active,2023-11-29,103133.48,0.0
176,55451,Current,Active,2026-01-08,136639.08,0.0
177,104104,Salary,Active,2026-11-05,38091.14,0.0
178,115549,Savings,Dormant,2026-08-23,40640.79,0.0
179,68156,Savings,Active,2025-05-27,41644.23,0.0
180,91844,Savings,Active,2023-06-28,46392.3,0.0
181,108526,Current,Active,2023-11-28,97176.48,0.0
182,28085,Savings,Active,2025-02-16,1252.27,0.0
183,39020,Credit,Dormant,2023-09-26,8983.66,316196.84
184,60936,Savings,Active,2022-11-01,76989.96,0.0
185,25568,Salary,Active,2023-03-21,7214.21,0.0
186,51537,Salary,Active,2025-11-03,43695.96,0.0
187,1672,Current,Active,2024-09-18,43112.74,0.0
188,107344,Current,Active,2025-09-08,10683.58,0.0
189,32895,Credit,Active,2023-08-01,18860.22,275591.75
190,90719,Salary,Active,2025-12-24,8486.0,0.0
191,68137,Current,Active,2023-03-17,59707.85,0.0
192,117107,Current,Active,2025-01-12,6589.59,0.0
193,11429,Current,Active,2024-04-06,11278.4,0.0
194,116233,Current,Active,2026-01-30,34912.28,0.0
195,23145,Savings,Active,2024-10-12,2030.17,0.0
196,77794,Salary,Active,2024-03-24,9420.92,0.0
197,26424,Savings,Active,2023-10-20,68384.26,0.0
198,40234,Savings,Active,2024-09-22,21256.7,0.0
199,97171,Salary,Active,2023-05-11,134220.91,0.0
200,109732,Salary,Active,2024-10-07,49259.79,0.0
201,30635,Savings,Active,2022-11-26,2770.09,0.0
202,53259,Salary,Active,2026-08-23,6060.14,0.0
203,111636,Salary,Active,2022-08-18,33518.66,0.0
204,50679,Savings,Active,2026-04-08,8898.68,0.0
205,104039,Salary,Active,2026-10-05,6476.82,0.0
206,84713,Salary,Active,2023-01-30,15096.15,0.0
207,82066,Current,Active,2024-08-03,8866.61,0.0
208,54018,Current,Active,2022-12-01,6506.15,0.0
209,24058,Current,Active,2023-09-23,37212.51,0.0
210,38236,Salary,Active,2025-09-07,4982.88,0.0
211,116262,Salary,Active,2024-12-02,23791.53,0.0
212,19015,Salary,Frozen,2026-04-20,3450.11,0.0
213,88800,Current,Dormant,2023-12-10,17139.55,0.0
214,118068,Credit,Dormant,2025-07-19,16119.68,318928.6
215,65784,Savings,Active,2025-03-04,77881.79,0.0
216,100211,Savings,Active,2023-12-02,54778.36,0.0
217,95388,Savings,Active,2024-01-15,244678.84,0.0
218,35531,Savings,Active,2025-03-29,21619.78,0.0
219,23237,Salary,Active,2023-10-25,8359.64,0.0
220,108822,Savings,Active,2024-04-30,7748.05,0.0
221,17725,Credit,Active,2026-02-08,34231.95,124999.46
222,109243,Current,Dormant,2024-11-22,4322.8,0.0
223,89622,Credit,Active,2026-03-01,32330.46,194542.63
224,15276,Credit,Frozen,2024-04-27,48287.4,148865.79
225,45852,Credit,Active,2024-05-23,39120.09,412195.36
226,96399,Current,Active,2023-02-15,33806.66,0.0
227,22451,Savings,Active,2022-11-12,41009.3,0.0
228,2386,Savings,Active,2024-07-31,83050.72,0.0
229,80736,Savings,Active,2024-07-30,26579.3,0.0
230,76873,Savings,Active,2025-07-13,27629.78,0.0
231,76552,Current,Active,2022-10-02,15560.28,0.0
232,94641,Savings,Active,2024-10-07,9210.81,0.0
233,112667,Current,Dormant,2023-08-05,31132.81,0.0
234,94880,Savings,Active,2023-12-29,40511.71,0.0
235,96097,Current,Active,2023-03-14,59952.42,0.0
236,30127,Savings,Active,2023-08-30,166692.93,0.0
237,72625,Savings,Active,2025-01-13,242889.39,0.0
238,31570,Current,Active,2025-03-02,29009.38,0.0
239,77139,Salary,Closed,2022-09-17,5476.23,0.0
240,36389,Savings,Active,2023-04-07,28401.69,0.0
241,77374,Salary,Active,2026-05-24,90748.21,0.0
242,24988,Savings,Active,2025-07-12,33553.53,0.0
243,64196,Savings,Active,2025-12-21,9056.71,0.0
244,25127,Credit,Active,2024-06-04,49554.64,24670.87
245,28106,Savings,Active,2026-02-10,3687.87,0.0
246,76686,Salary,Active,2025-09-12,148003.14,0.0
247,112883,Savings,Active,2026-02-24,51255.27,0.0
248,7981,Credit,Active,2026-03-16,49319.14,205156.75
249,4974,Current,Dormant,2023-06-10,4593.06,0.0
250,5934,Savings,Active,2022-12-07,7877.3,0.0
251,8511,Savings,Active,2025-07-02,8885.3,0.0
252,6354,Savings,Active,2025-07-27,37105.53,0.0
253,71781,Savings,Active,2024-12-29,43276.14,0.0
254,36371,Salary,Active,2022-12-26,42690.3,0.0
255,73790,Salary,Active,2023-07-21,9275.67,0.0
256,59922,Salary,Active,2025-09-07,5974.52,0.0
257,117131,Credit,Closed,2025-09-17,12277.18,330618.41
258,13099,Current,Active,2023-12-23,7783.6,0.0
259,37160,Salary,Active,2025-10-08,140653.34,0.0
260,24130,Savings,Active,2023-10-25,13448.32,0.0
261,84134,Savings,Active,2024-03-10,14779.28,0.0
262,12329,Savings,Active,2023-02-14,93438.16,0.0
263,109317,Savings,Active,2024-10-25,4694.54,0.0
264,32189,Savings,Active,2025-08-28,69611.44,0.0
265,110565,Savings,Active,2024-08-03,61573.37,0.0
266,52858,Credit,Active,2024-06-10,26712.25,396857.67
267,88493,Savings,Dormant,2026-07-09,20944.31,0.0
268,111022,Current,Active,2023-02-19,2636.72,0.0
269,35118,Credit,Active,2024-10-10,4977.12,335036.72
270,17117,Savings,Dormant,2022-03-27,2485.91,0.0
271,82705,Savings,Active,2026-11-02,4939.09,0.0
272,48103,Salary,Closed,2026-01-16,73287.88,0.0
273,38162,Savings,Active,2024-04-29,20521.12,0.0
274,29229,Current,Active,2026-02-04,48664.62,0.0
275,60880,Savings,Active,2026-02-21,44395.43,0.0
276,49248,Current,Active,2023-08-15,26623.38,0.0
277,83409,Current,Dormant,2025-10-07,200653.25,0.0
278,116966,Savings,Active,2024-12-18,38838.0,0.0
279,59431,Current,Active,2023-06-17,5792.56,0.0
280,110746,Savings,Active,2024-11-12,105635.35,0.0
281,38041,Salary,Active,2025-06-22,67673.96,0.0
282,94330,Current,Active,2024-09-13,4918.68,0.0
283,41665,Savings,Active,2024-01-22,26393.34,0.0
284,85108,Savings,Active,2023-03-31,30789.54,0.0
285,57823,Savings,Active,2022-06-03,117237.59,0.0
286,108701,Credit,Active,2025-12-24,42660.27,334315.2
287,13663,Savings,Active,2026-03-13,15551.77,0.0
288,116895,Savings,Active,2022-07-17,8851.76,0.0
289,114441,Savings,Active,2023-06-13,33904.49,0.0
290,84781,Savings,Active,2023-06-16,11311.26,0.0
291,26141,Salary,Active,2025-06-06,2886.27,0.0
292,13804,Savings,Active,2024-02-01,86581.51,0.0
293,69447,Salary,Active,2025-09-14,36342.44,0.0
294,7935,Savings,Active,2023-12-26,11700.91,0.0
295,31473,Savings,Active,2025-07-15,42972.12,0.0
296,114768,Current,Frozen,2024-05-27,20139.13,0.0
297,18297,Savings,Active,2024-10-13,2690.29,0.0
298,8568,Salary,Active,2023-01-29,13770.65,0.0
299,113268,Current,Dormant,2023-12-30,13682.19,0.0
300,14001,Credit,Active,2025-12-10,3323.6,145314.51
301,82624,Savings,Dormant,2025-07-03,30432.67,0.0
302,33673,Current,Active,2024-12-20,30668.55,0.0
303,62463,Savings,Active,2025-07-07,26091.96,0.0
304,100564,Savings,Active,2025-06-02,23555.79,0.0
305,68393,Savings,Active,2025-07-07,19872.53,0.0
306,105319,Savings,Active,2026-08-14,7102.87,0.0
307,58029,Savings,Active,2026-01-24,15626.93,0.0
308,25194,Current,Active,2024-03-22,21714.96,0.0
309,26897,Savings,Active,2023-05-13,165785.81,0.0
310,55534,Salary,Active,2023-01-01,9687.02,0.0
311,112026,Savings,Active,2026-02-14,3427.38,0.0
312,96567,Salary,Active,2024-04-11,43396.16,0.0
313,21189,Salary,Active,2023-12-07,253129.75,0.0
314,12121,Salary,Active,2023-11-27,3247.89,0.0
315,103939,Salary,Dormant,2023-11-15,14364.91,0.0
316,22417,Savings,Active,2023-01-29,69712.74,0.0
317,34788,Savings,Active,2023-10-24,30059.3,0.0
318,73497,Salary,Active,2023-04-05,35272.14,0.0
319,5650,Savings,Active,2023-01-28,16983.05,0.0
320,30573,Savings,Active,2023-03-29,12955.83,0.0
321,95595,Savings,Active,2023-08-26,8276.48,0.0
322,70503,Savings,Active,2025-04-26,25480.71,0.0
323,82456,Savings,Active,2024-03-25,9381.91,0.0
324,62386,Current,Active,2025-03-26,17292.05,0.0
325,54058,Savings,Frozen,2025-12-13,61159.28,0.0
326,44768,Current,Closed,2025-06-30,11500.24,0.0
327,108749,Current,Active,2022-11-30,36288.85,0.0
328,84003,Salary,Active,2025-03-19,3717.22,0.0
329,29233,Savings,Active,2026-09-04,25048.6,0.0
330,30793,Savings,Active,2023-06-20,185923.2,0.0
331,21929,Current,Dormant,2023-06-12,14837.91,0.0
332,10227,Savings,Active,2026-06-19,8997.56,0.0
333,8781,Savings,Active,2026-03-18,384700.86,0.0
334,100766,Current,Active,2024-06-22,29025.46,0.0
335,31926,Savings,Active,2022-08-10,17168.8,0.0
336,97045,Current,Active,2025-11-07,10340.08,0.0
337,95937,Savings,Active,2024-12-16,2614.21,0.0
338,25245,Savings,Active,2024-12-16,18524.88,0.0
339,94003,Savings,Frozen,2024-09-04,3030.19,0.0
340,99700,Salary,Active,2023-04-21,24417.78,0.0
341,24461,Savings,Active,2024-02-07,39601.22,0.0
342,54808,Savings,Active,2026-05-09,103247.59,0.0
343,89266,Current,Active,2026-02-14,12987.36,0.0
344,17540,Salary,Active,2023-08-31,64474.94,0.0
345,101328,Savings,Active,2024-01-13,13648.81,0.0
346,4427,Current,Active,2025-10-28,28661.87,0.0
347,43040,Savings,Active,2022-05-18,8157.23,0.0
348,28400,Credit,Active,2025-08-10,8534.75,98069.22
349,2332,Salary,Active,2025-12-24,65037.3,0.0
350,42619,Salary,Dormant,2023-03-08,73827.6,0.0
351,22272,Savings,Active,2024-01-25,449997.05,0.0
352,57531,Credit,Active,2026-04-15,78399.61,147912.25
353,101874,Savings,Closed,2024-12-27,159329.65,0.0
354,90995,Savings,Active,2023-05-13,9467.35,0.0
355,112934,Credit,Active,2025-09-22,50744.98,274255.5
356,109986,Current,Active,2026-05-23,12038.58,0.0
357,61494,Current,Active,2024-01-31,2674.96,0.0
358,47430,Current,Active,2026-03-31,32736.13,0.0
359,81307,Savings,Active,2023-04-01,9559.72,0.0
360,95185,Salary,Closed,2024-10-13,24033.0,0.0
361,69671,Savings,Active,2025-08-20,26437.58,0.0
362,70414,Current,Closed,2023-10-02,59997.4,0.0
363,32624,Salary,Active,2025-07-27,38315.81,0.0
364,32076,Current,Dormant,2023-08-26,8428.31,0.0
365,38754,Credit,Active,2023-02-17,21491.49,494783.65
366,31058,Savings,Frozen,2023-12-03,5300.3,0.0
367,114887,Current,Closed,2022-11-17,36048.35,0.0
368,60693,Current,Active,2023-11-22,20844.96,0.0
369,102337,Current,Active,2025-11-22,16712.42,0.0
370,35821,Savings,Active,2025-10-06,6183.67,0.0
371,21728,Savings,Active,2023-08-27,34007.7,0.0
372,50374,Current,Active,2025-06-15,12135.39,0.0
373,57482,Savings,Active,2025-01-12,57371.1,0.0
374,51164,Savings,Active,2024-11-30,19989.73,0.0
375,14420,Current,Active,2026-01-13,92622.13,0.0
376,66872,Savings,Closed,2025-06-13,11519.72,0.0
377,50553,Salary,Active,2024-03-04,61937.81,0.0
378,1501,Current,Active,2022-08-01,279724.79,0.0
379,52667,Savings,Active,2024-07-19,10568.99,0.0
380,105701,Salary,Active,2023-05-02,14995.56,0.0
381,74186,Salary,Active,2026-01-03,34286.63,0.0
382,81610,Savings,Active,2026-05-14,27308.18,0.0
383,108086,Salary,Active,2023-03-15,39640.82,0.0
384,52518,Savings,Active,2022-12-07,11549.89,0.0
385,59597,Savings,Active,2026-04-21,23276.03,0.0
386,94364,Savings,Active,2023-04-30,33932.31,0.0
387,101047,Salary,Active,2023-12-17,33251.96,0.0
388,11828,Savings,Active,2023-04-14,116305.63,0.0
389,10640,Salary,Active,2025-07-05,40088.92,0.0
390,100815,Salary,Dormant,2024-01-12,10817.31,0.0
391,46467,Salary,Active,2025-11-26,452590.72,0.0
392,89544,Current,Active,2024-09-13,29019.69,0.0
393,50991,Savings,Active,2024-02-22,6802.37,0.0
394,69538,Salary,Active,2025-05-06,4355.85,0.0
395,11261,Credit,Active,2022-07-17,56834.93,44061.3
396,109666,Current,Active,2023-10-02,6534.07,0.0
397,37286,Savings,Dormant,2023-01-26,8244.21,0.0
398,12354,Salary,Dormant,2024-09-12,35713.53,0.0
399,7270,Savings,Active,2025-06-10,18385.63,0.0
400,107769,Current,Active,2022-05-15,40219.21,0.0
401,99138,Savings,Dormant,2023-09-08,57449.89,0.0
402,42918,Current,Active,2024-12-07,35503.95,0.0
403,34152,Salary,Active,2023-09-24,20303.07,0.0
404,71104,Savings,Active,2023-09-09,6204.94,0.0
405,36875,Savings,Active,2023-06-13,48389.69,0.0
406,69967,Salary,Active,2022-02-23,5534.24,0.0
407,40706,Savings,Active,2025-04-07,29092.54,0.0
408,95114,Credit,Closed,2022-07-14,21438.04,113707.26
409,58358,Salary,Active,2022-11-15,21207.11,0.0
410,67804,Savings,Active,2022-02-26,26526.18,0.0
411,97007,Salary,Closed,2025-05-11,8345.75,0.0
412,65497,Credit,Active,2025-10-22,8908.55,149855.86
413,14801,Salary,Active,2024-10-17,46835.99,0.0
414,22885,Current,Closed,2026-06-01,8338.91,0.0
415,22711,Salary,Active,2026-01-14,21983.92,0.0
416,102978,Salary,Active,2026-06-23,41334.31,0.0
417,86621,Current,Active,2025-12-19,10032.82,0.0
418,87801,Current,Active,2023-11-11,18065.79,0.0
419,60560,Salary,Active,2026-03-04,10333.93,0.0
420,36446,Current,Active,2022-12-06,9723.0,0.0
421,68811,Current,Active,2025-01-18,18985.33,0.0
422,107394,Savings,Active,2024-01-14,18260.36,0.0
423,36734,Current,Active,2023-10-11,116106.19,0.0
424,106081,Savings,Active,2024-02-08,188374.39,0.0
425,102410,Salary,Active,2024-12-23,10760.69,0.0
426,34016,Current,Active,2026-03-12,10298.9,0.0
427,76795,Savings,Active,2024-02-13,5895.02,0.0
428,87346,Savings,Active,2025-11-12,31839.2,0.0
429,90171,Current,Active,2023-12-02,18891.1,0.0
430,8791,Salary,Closed,2025-05-26,34417.03,0.0
431,70249,Savings,Active,2024-01-03,63559.3,0.0
432,27668,Current,Active,2022-12-28,10786.24,0.0
433,10048,Current,Active,2023-04-07,3095.2,0.0
434,77487,Salary,Active,2023-01-19,7391.76,0.0
435,1563,Savings,Active,2023-12-20,133822.87,0.0
436,33586,Credit,Active,2025-01-04,24220.72,266723.58
437,115571,Savings,Active,2024-08-25,11701.07,0.0
438,17708,Salary,Active,2023-01-22,39125.2,0.0
439,57800,Savings,Active,2022-12-05,229692.14,0.0
440,77427,Salary,Active,2023-07-13,22571.62,0.0
441,111775,Savings,Active,2022-11-14,40125.88,0.0
442,116171,Current,Active,2023-11-22,18678.54,0.0
443,11625,Savings,Active,2023-01-31,29582.75,0.0
444,99804,Current,Active,2025-06-15,47064.73,0.0
445,88823,Current,Active,2022-09-01,12001.6,0.0
446,89695,Current,Active,2024-05-10,9368.11,0.0
447,85083,Savings,Active,2022-08-25,8383.85,0.0
448,116492,Current,Active,2025-09-03,22977.91,0.0
449,46956,Salary,Active,2023-09-25,11186.64,0.0
450,1626,Savings,Active,2025-02-21,1158.53,0.0
451,66776,Current,Active,2022-11-14,22494.78,0.0
452,114250,Credit,Active,2023-09-10,72964.27,175763.9
453,59512,Savings,Active,2023-12-24,26453.47,0.0
454,103483,Salary,Active,2024-02-12,45672.79,0.0
455,65760,Current,Active,2024-01-29,15783.1,0.0
456,56020,Savings,Active,2024-01-26,25170.42,0.0
457,23072,Savings,Active,2023-10-25,56513.48,0.0
458,107229,Credit,Active,2024-12-27,65412.72,50689.37
459,86857,Savings,Closed,2023-02-03,53834.86,0.0
460,37735,Savings,Active,2022-10-21,191842.07,0.0
461,87981,Savings,Active,2025-05-30,11476.56,0.0
462,101309,Salary,Active,2025-12-28,7681.83,0.0
463,92654,Savings,Active,2026-01-14,23587.49,0.0
464,63475,Current,Frozen,2026-03-26,34399.65,0.0
465,50875,Salary,Active,2022-04-12,15306.13,0.0
466,37836,Savings,Active,2022-12-04,23885.23,0.0
467,63234,Savings,Active,2024-05-18,55693.33,0.0
468,20039,Salary,Dormant,2023-05-14,108082.38,0.0
469,94529,Credit,Active,2024-01-05,30706.39,295597.16
470,29637,Credit,Active,2024-02-08,22273.32,159761.3
471,14914,Savings,Active,2024-09-02,33424.88,0.0
472,80341,Credit,Active,2024-05-15,47516.15,318700.85
473,115803,Current,Frozen,2023-11-16,28054.78,0.0
474,5014,Credit,Active,2023-11-05,113001.69,262307.52
475,75139,Current,Dormant,2024-06-25,72191.21,0.0
476,81786,Savings,Active,2024-10-05,28725.82,0.0
477,2347,Savings,Active,2022-09-26,91978.05,0.0
478,114775,Savings,Active,2023-01-16,21046.24,0.0
479,56548,Salary,Dormant,2024-08-02,28636.01,0.0
480,56470,Current,Active,2022-08-29,10418.29,0.0
481,76969,Savings,Closed,2025-05-03,48889.09,0.0
482,37480,Savings,Active,2023-03-13,17113.79,0.0
483,72816,Current,Active,2022-10-20,17851.93,0.0
484,56819,Savings,Closed,2022-12-07,14549.12,0.0
485,69939,Credit,Active,2023-06-01,63208.5,127979.01
486,50740,Savings,Closed,2026-06-28,67729.45,0.0
487,18600,Current,Active,2024-10-06,179816.41,0.0
488,8998,Current,Active,2025-03-02,406925.84,0.0
489,81406,Salary,Active,2025-11-23,98017.88,0.0
490,65532,Savings,Active,2023-06-22,73492.45,0.0
491,79167,Savings,Active,2023-04-30,72131.91,0.0
492,115685,Current,Active,2022-04-29,3762.54,0.0
493,2516,Credit,Active,2024-11-21,23415.59,232593.71
494,74932,Savings,Active,2024-04-19,99955.01,0.0
495,104076,Current,Dormant,2023-12-11,27365.38,0.0
