chargeback_id,transaction_id,chargeback_date,reason_code,chargeback_amount_inr,chargeback_status,recovery_amount_inr,merchant_response_days
100,1290906,2025-11-20,Fraud,1684.22,Partially Recovered,1327.82,14
101,485509,2026-01-20,Fraud,310.29,Lost,1.39,22
102,297363,2025-06-26,Fraud,561.97,Won,44.29,4
103,668209,2025-08-19,Processing Error,1635.58,Won,1333.06,19
104,342850,2025-03-08,Product Not Received,1694.63,Won,1419.29,16
105,408987,2024-07-25,Fraud,2692.45,Open,911.81,27
106,976575,2025-12-27,Duplicate,1352.42,Lost,938.83,29
107,1015732,2025-08-03,Product Not as Described,1636.5,Won,1113.14,9
108,1420737,2026-03-03,Fraud,521.99,Lost,71.03,13
109,1213781,2026-05-04,Product Not as Described,618.09,Open,65.63,2
110,821943,2026-03-13,Fraud,892.53,Lost,643.27,20
111,538621,2026-01-22,Duplicate,192.73,Lost,103.93,9
112,860174,2025-10-15,Duplicate,4672.86,Won,2035.94,23
113,496954,2025-12-24,Product Not as Described,440.28,Partially Recovered,262.52,8
114,1287879,2025-08-23,Fraud,1498.99,Lost,628.07,5
115,276192,2024-11-18,Product Not Received,596.73,Lost,100.38,18
116,503232,2025-10-09,Fraud,1058.11,Won,777.22,22
117,1201444,2025-03-13,Product Not as Described,682.44,Won,368.36,23
118,910232,2025-08-27,Duplicate,1663.69,Won,997.7,5
119,635283,2025-08-28,Fraud,425.57,Partially Recovered,175.15,25
120,991972,2026-04-18,Fraud,297.14,Partially Recovered,211.5,5
121,193114,2026-05-28,Fraud,281.25,Open,138.43,21
122,428310,2025-01-02,Processing Error,998.91,Won,398.22,14
123,1488537,2025-11-20,Duplicate,4378.51,Partially Recovered,1544.33,11
124,527727,2026-03-22,Processing Error,543.84,Won,136.8,18
125,1389299,2026-01-31,Product Not as Described,794.69,Partially Recovered,636.38,22
126,745412,2025-06-20,Duplicate,915.34,Lost,225.33,26
127,3599,2025-05-13,Fraud,2007.84,Partially Recovered,1706.41,29
128,653222,2025-11-07,Fraud,749.23,Won,296.95,20
129,906262,2026-05-20,Product Not as Described,1847.61,Partially Recovered,1167.54,29
130,200389,2024-06-05,Fraud,427.29,Partially Recovered,327.62,8
131,1370441,2025-11-24,Fraud,329.85,Won,75.58,5
132,179538,2024-04-20,Product Not Received,103.2,Lost,56.71,9
133,299794,2026-01-28,Product Not Received,1801.86,Won,429.72,26
134,1229229,2026-07-03,Fraud,298.59,Won,1.0,9
135,515009,2025-11-18,Processing Error,644.16,Partially Recovered,22.79,13
136,756497,2025-10-12,Product Not Received,1076.64,Open,308.65,6
137,1294209,2026-11-28,Product Not as Described,395.57,Won,255.98,2
138,385330,2025-08-20,Fraud,165.53,Partially Recovered,140.4,12
139,376832,2026-05-17,Product Not Received,147.23,Lost,43.6,14
140,1400930,2024-09-28,Duplicate,2151.66,Partially Recovered,896.49,3
141,1094797,2026-01-30,Product Not Received,131.68,Partially Recovered,47.25,22
142,42194,2026-02-19,Product Not Received,1673.57,Partially Recovered,1395.26,11
143,513947,2025-10-15,Product Not as Described,264.18,Lost,194.17,14
144,1476738,2025-10-31,Fraud,4074.36,Partially Recovered,3197.56,23
145,1237032,2026-04-26,Product Not as Described,697.32,Partially Recovered,266.8,1
146,872638,2026-03-15,Product Not Received,572.51,Lost,381.04,15
147,1196326,2025-12-28,Fraud,748.96,Open,433.79,19
148,1094619,2024-04-23,Processing Error,575.49,Lost,126.97,17
149,156841,2025-04-15,Processing Error,185.18,Won,46.13,26
150,878905,2025-10-20,Duplicate,275.71,Won,72.25,28
151,840513,2026-01-13,Processing Error,3350.06,Lost,1225.9,20
152,710771,2026-02-27,Processing Error,6157.38,Partially Recovered,2520.54,4
153,920845,2025-03-13,Product Not Received,5088.45,Partially Recovered,3606.54,29
154,1486475,2026-03-31,Processing Error,2629.05,Lost,1868.49,18
155,1221497,2024-09-14,Product Not as Described,13866.35,Won,8920.61,8
156,181361,2026-07-24,Product Not Received,4221.58,Lost,218.64,20
157,942654,2024-09-12,Fraud,1603.89,Won,1115.18,30
158,417222,2026-03-25,Fraud,13384.87,Won,9201.21,21
159,225916,2026-01-28,Fraud,897.87,Won,353.0,18
160,1430942,2026-05-27,Fraud,5283.53,Won,576.56,4
161,170921,2026-01-06,Product Not Received,2302.09,Won,652.29,26
162,1394773,2026-03-06,Product Not Received,1435.29,Partially Recovered,1196.26,7
163,1049960,2025-09-10,Duplicate,708.01,Partially Recovered,7.59,9
164,230367,2025-10-03,Processing Error,249.43,Won,153.48,5
165,1389779,2024-08-20,Fraud,498.56,Open,225.44,7
166,587846,2025-10-20,Fraud,280.44,Partially Recovered,150.69,10
167,547175,2025-09-24,Duplicate,305.65,Won,131.9,13
168,380264,2025-07-20,Fraud,5050.3,Lost,141.34,7
169,1181532,2024-11-23,Product Not as Described,778.96,Won,634.97,11
170,133948,2027-03-16,Fraud,1753.37,Lost,274.0,23
171,623430,2026-03-14,Product Not Received,387.82,Won,140.53,17
172,1230987,2025-07-11,Fraud,963.97,Won,548.56,4
173,1024745,2025-08-06,Processing Error,711.41,Lost,538.7,2
174,1066055,2025-12-29,Duplicate,515.47,Partially Recovered,72.06,9
175,1215713,2024-08-26,Fraud,279.68,Won,170.9,20
176,1266132,2024-10-30,Product Not Received,2669.69,Lost,821.03,10
177,938685,2024-12-08,Fraud,2340.23,Lost,1009.35,3
178,1356871,2026-02-08,Fraud,828.22,Lost,420.92,23
179,971008,2025-10-22,Fraud,75.7,Lost,22.6,19
180,587535,2025-01-16,Processing Error,614.87,Open,295.08,2
181,1098377,2026-06-08,Processing Error,24.1,Open,11.56,26
182,1095445,2025-06-14,Duplicate,535.93,Open,77.15,10
183,1351397,2024-02-12,Product Not as Described,556.72,Open,108.42,19
184,770264,2023-08-09,Product Not Received,370.82,Won,105.24,11
185,20128,2026-01-24,Fraud,352.21,Partially Recovered,85.01,17
186,951854,2026-10-01,Product Not as Described,296.95,Partially Recovered,10.15,20
187,1377232,2025-06-16,Fraud,428.31,Won,335.31,7
188,1092335,2025-09-06,Product Not Received,2707.77,Lost,290.01,15
189,912259,2026-01-03,Processing Error,3305.18,Lost,1062.56,19
190,18295,2025-12-12,Fraud,4328.97,Partially Recovered,361.87,5
191,817720,2026-06-26,Duplicate,947.1,Lost,585.15,27
192,1156541,2026-01-04,Duplicate,705.1,Open,266.29,1
193,19382,2025-03-05,Duplicate,1690.47,Lost,1014.12,10
194,129809,2026-02-09,Product Not Received,1658.44,Won,661.64,24
195,183964,2026-08-20,Fraud,363.59,Partially Recovered,290.83,8
196,1085923,2025-08-13,Duplicate,15868.13,Partially Recovered,8000.63,4
197,1171774,2026-02-13,Duplicate,2633.65,Won,1785.36,10
198,1153603,2026-01-01,Processing Error,1576.7,Lost,343.57,19
199,164802,2026-06-09,Duplicate,312.45,Lost,239.26,3
200,380238,2025-09-20,Product Not as Described,1428.16,Won,41.9,30
201,988952,2026-01-06,Processing Error,231.46,Won,129.97,21
202,1414358,2025-11-09,Product Not as Described,377.43,Won,22.64,19
203,1439308,2024-10-13,Processing Error,226.85,Won,192.04,23
204,488978,2026-03-01,Fraud,975.31,Lost,8.5,1
205,62848,2025-03-04,Product Not as Described,683.24,Partially Recovered,166.33,27
206,780216,2025-12-28,Fraud,2763.64,Won,886.25,26
207,603695,2025-10-31,Product Not Received,1579.0,Partially Recovered,42.2,17
208,737607,2025-12-21,Fraud,1388.8,Lost,845.17,6
209,1097303,2026-10-31,Product Not as Described,1444.94,Won,532.36,8
210,1019934,2025-12-25,Processing Error,1862.6,Won,1448.97,1
211,811410,2026-06-30,Fraud,738.54,Partially Recovered,460.2,16
212,1419472,2025-10-16,Fraud,6186.47,Partially Recovered,4451.7,17
213,1416660,2025-03-24,Duplicate,1295.17,Lost,79.77,10
214,1052745,2025-04-13,Product Not as Described,388.03,Partially Recovered,130.58,3
215,1119991,2026-03-27,Fraud,150.95,Partially Recovered,114.41,23
216,294508,2024-03-25,Product Not as Described,281.03,Lost,154.71,9
217,1282723,2025-04-27,Product Not Received,10672.44,Lost,5663.75,6
218,1012947,2026-08-22,Processing Error,3560.98,Won,397.24,27
219,651654,2024-03-22,Product Not as Described,305.62,Partially Recovered,216.69,24
220,327670,2025-04-23,Fraud,2916.27,Won,348.36,29
221,508239,2025-12-28,Product Not Received,403.22,Partially Recovered,248.7,26
222,136746,2026-01-17,Fraud,441.75,Lost,187.75,25
223,1259283,2025-04-11,Fraud,456.38,Won,180.48,24
224,285544,2026-02-05,Fraud,2659.87,Lost,1109.8,4
225,578120,2026-08-05,Processing Error,1729.8,Partially Recovered,335.38,21
226,1129657,2026-01-24,Fraud,1353.32,Lost,241.94,26
227,1339673,2023-06-05,Product Not Received,4193.86,Won,2614.15,5
228,224157,2026-03-01,Product Not as Described,1055.36,Won,558.38,28
229,159359,2026-09-19,Fraud,1617.79,Partially Recovered,749.02,20
230,1130022,2025-08-20,Processing Error,723.03,Won,526.11,12
231,3244,2023-07-23,Fraud,2347.56,Partially Recovered,1700.79,23
232,296820,2025-11-16,Fraud,743.39,Won,348.62,18
233,540040,2025-07-29,Product Not Received,1258.54,Lost,7.02,19
234,607373,2026-01-02,Processing Error,442.35,Lost,236.61,19
235,214074,2026-02-02,Fraud,1327.15,Partially Recovered,955.48,24
236,806966,2024-11-05,Fraud,1013.94,Partially Recovered,605.76,24
237,164695,2026-02-10,Fraud,2130.36,Won,1164.37,20
238,1235671,2026-01-16,Product Not as Described,1464.45,Partially Recovered,412.31,29
239,454165,2024-11-14,Duplicate,1989.1,Won,911.75,7
240,657727,2026-02-05,Duplicate,562.99,Lost,62.66,2
241,1030204,2025-06-08,Fraud,19783.92,Won,14837.42,1
242,42047,2025-06-22,Fraud,2882.75,Open,518.38,16
243,1229593,2025-11-26,Fraud,274.54,Won,70.71,21
244,360675,2025-09-27,Fraud,3205.19,Won,297.91,30
245,1246834,2025-05-18,Fraud,535.71,Lost,178.04,22
246,1363332,2026-01-24,Processing Error,1648.58,Partially Recovered,620.16,23
247,1116662,2025-11-02,Processing Error,400.15,Won,272.18,11
248,497467,2025-03-02,Processing Error,722.88,Lost,217.86,22
249,234460,2024-09-05,Fraud,422.18,Partially Recovered,300.21,12
250,1068160,2026-01-29,Fraud,369.54,Lost,78.77,22
251,1359249,2025-06-30,Product Not as Described,523.02,Partially Recovered,209.84,7
252,1495347,2025-10-15,Fraud,1086.32,Won,806.07,3
253,1008360,2025-05-03,Processing Error,1957.44,Lost,1300.56,22
254,169581,2025-04-22,Fraud,134.49,Won,41.26,3
255,683361,2025-04-10,Duplicate,1198.69,Partially Recovered,454.36,23
256,106779,2026-02-02,Fraud,3056.75,Open,1707.5,21
257,543641,2025-06-30,Product Not Received,403.39,Partially Recovered,148.51,10
258,143259,2026-01-09,Processing Error,238.11,Won,58.04,21
259,96195,2025-04-01,Processing Error,1660.29,Won,610.89,17
260,1182301,2025-12-30,Product Not Received,1450.99,Lost,293.04,15
261,911003,2026-06-06,Duplicate,1579.94,Open,161.33,26
262,521270,2025-05-10,Processing Error,2823.93,Partially Recovered,66.56,23
263,359137,2025-04-30,Fraud,154.39,Partially Recovered,127.44,14
264,250144,2025-08-28,Product Not Received,4018.95,Won,1516.5,22
265,1135475,2026-01-02,Product Not as Described,1796.61,Partially Recovered,190.11,20
266,1015447,2025-11-13,Processing Error,256.06,Won,17.24,3
267,279403,2025-09-20,Duplicate,973.59,Won,669.57,22
268,734088,2026-04-03,Product Not Received,455.92,Partially Recovered,268.84,26
269,143170,2026-04-11,Product Not Received,1033.12,Partially Recovered,223.45,2
270,1302710,2026-01-02,Product Not Received,4766.43,Open,2016.75,9
271,328864,2025-10-30,Fraud,934.92,Partially Recovered,554.23,21
272,1148096,2025-12-14,Product Not Received,3621.27,Won,657.54,6
273,235296,2025-11-15,Processing Error,6211.8,Partially Recovered,2971.61,28
274,696823,2026-01-12,Product Not as Described,294.78,Lost,236.43,20
275,772011,2025-11-30,Processing Error,146.43,Partially Recovered,116.48,20
276,908602,2025-04-16,Processing Error,1361.08,Won,487.04,5
277,742371,2025-06-22,Duplicate,1211.88,Won,755.78,24
278,1326328,2025-07-09,Product Not as Described,3430.94,Won,1379.65,20
279,1336352,2025-06-16,Duplicate,446.4,Won,190.18,9
280,1155678,2025-04-07,Fraud,576.13,Partially Recovered,481.06,28
281,971071,2025-05-26,Fraud,1291.04,Won,679.83,24
282,610433,2024-11-27,Product Not as Described,197.52,Partially Recovered,69.67,29
283,1323644,2025-11-30,Product Not as Described,3150.92,Won,1209.84,13
284,1349177,2026-03-15,Fraud,1059.42,Lost,615.29,28
285,367843,2025-04-04,Fraud,77.76,Partially Recovered,1.34,23
286,708906,2026-06-28,Product Not as Described,923.87,Won,314.67,17
287,954773,2026-04-04,Duplicate,287.12,Won,226.89,3
288,680689,2026-03-08,Fraud,985.83,Open,89.98,13
289,1016598,2026-02-10,Fraud,389.02,Partially Recovered,215.65,23
290,362409,2024-12-15,Processing Error,86.36,Open,4.12,9
291,1266015,2025-11-07,Processing Error,1003.08,Lost,50.32,16
292,1475783,2026-01-18,Product Not Received,1543.26,Lost,347.91,19
293,1480170,2025-06-19,Processing Error,564.17,Open,46.22,18
294,208518,2025-07-16,Processing Error,56.57,Lost,33.62,21
295,768557,2026-01-07,Product Not Received,438.39,Lost,305.03,6
296,725354,2025-12-05,Product Not Received,3187.16,Won,1215.8,8
297,1314351,2025-07-11,Fraud,4011.93,Won,764.08,26
298,1479674,2025-10-04,Product Not Received,1242.5,Won,987.16,7
299,688494,2026-06-07,Fraud,1964.45,Partially Recovered,173.63,4
300,209021,2025-10-18,Fraud,291.58,Open,95.76,2
301,395486,2025-07-19,Duplicate,2574.14,Lost,48.15,21
302,1312885,2026-02-06,Duplicate,252.87,Won,128.05,6
303,810065,2025-07-07,Fraud,2953.29,Lost,300.48,2
304,1285987,2026-01-04,Fraud,2435.14,Won,771.85,7
305,753079,2025-04-23,Processing Error,129.94,Lost,3.77,6
306,476737,2026-07-10,Fraud,1672.02,Partially Recovered,1262.23,18
307,895254,2025-04-13,Fraud,438.02,Partially Recovered,94.71,30
308,1279169,2025-11-02,Processing Error,498.72,Partially Recovered,79.18,2
309,1332303,2024-06-30,Product Not Received,6488.84,Partially Recovered,4607.27,30
310,1107949,2026-01-17,Processing Error,7178.54,Won,2270.13,15
311,1383460,2025-02-23,Product Not Received,1383.87,Lost,136.91,12
312,865513,2025-12-15,Fraud,3021.98,Won,172.84,14
313,1352377,2026-05-11,Fraud,1135.42,Lost,859.05,27
314,906805,2024-11-18,Fraud,847.15,Lost,429.07,1
315,1270987,2026-10-16,Fraud,259.64,Won,207.63,25
316,641370,2025-05-25,Duplicate,737.61,Partially Recovered,234.76,9
317,1385578,2025-12-27,Fraud,1891.89,Lost,109.68,15
318,645492,2025-11-14,Duplicate,1344.44,Won,637.94,3
319,1109558,2025-08-12,Fraud,673.62,Lost,553.29,23
320,701906,2024-12-12,Fraud,151.47,Partially Recovered,53.63,27
321,194528,2026-02-11,Product Not Received,7182.47,Won,5276.36,24
322,709113,2024-04-18,Duplicate,1295.58,Lost,191.21,26
323,930597,2025-01-22,Duplicate,3942.21,Lost,1864.97,12
324,889226,2024-05-30,Product Not Received,5605.7,Won,3125.38,6
325,459670,2025-08-15,Processing Error,374.28,Won,49.27,23
326,1304469,2025-06-14,Product Not as Described,9093.94,Open,560.05,9
327,1385843,2026-01-09,Duplicate,107.85,Partially Recovered,35.51,4
328,2323,2025-04-26,Product Not as Described,472.9,Open,85.83,23
329,6198,2025-01-26,Processing Error,1305.1,Open,778.78,30
330,131211,2024-10-05,Duplicate,1825.06,Won,1334.89,2
331,527168,2025-01-10,Fraud,360.92,Partially Recovered,79.43,9
332,177227,2025-09-24,Fraud,2459.78,Won,1976.54,18
333,1332645,2026-06-23,Fraud,477.8,Won,26.44,12
334,757239,2025-11-12,Processing Error,4102.04,Won,3031.28,2
335,1007215,2025-04-14,Fraud,282.38,Partially Recovered,224.15,15
336,785578,2026-06-12,Processing Error,313.13,Lost,73.43,3
337,1195072,2025-12-09,Fraud,3765.6,Lost,449.95,10
338,886576,2025-06-02,Product Not Received,825.78,Lost,247.39,9
339,381753,2026-02-22,Fraud,610.3,Won,288.19,30
340,102310,2025-04-26,Fraud,728.54,Lost,276.16,28
341,567204,2024-06-03,Product Not Received,149.97,Won,104.77,8
342,828634,2026-09-01,Product Not as Described,353.04,Lost,104.6,20
343,1089294,2025-09-18,Product Not Received,247.14,Partially Recovered,33.67,4
344,309093,2025-10-30,Fraud,2999.46,Won,1112.01,12
345,1453342,2026-03-24,Duplicate,622.69,Lost,247.86,29
346,1416267,2025-12-06,Product Not Received,892.16,Won,730.38,7
347,58262,2025-06-12,Product Not as Described,1240.16,Lost,796.7,19
348,895784,2026-03-30,Duplicate,728.43,Won,488.41,19
349,1453297,2026-02-09,Fraud,327.79,Partially Recovered,127.7,5
350,298572,2026-02-19,Product Not Received,582.69,Won,259.57,23
351,197832,2026-09-01,Fraud,2648.07,Partially Recovered,1760.87,1
352,1022391,2023-12-07,Fraud,701.56,Open,592.4,12
353,1243751,2025-12-01,Fraud,560.79,Won,292.44,6
354,1103482,2025-08-22,Processing Error,1690.96,Lost,628.95,24
355,361156,2025-12-16,Processing Error,219.1,Partially Recovered,157.15,2
356,637315,2025-07-22,Fraud,546.93,Partially Recovered,104.82,23
357,907833,2025-02-02,Product Not Received,582.59,Partially Recovered,485.53,18
358,291453,2026-02-10,Fraud,903.41,Partially Recovered,366.06,7
359,458893,2025-12-02,Fraud,2924.34,Partially Recovered,1478.81,3
360,1089602,2025-01-25,Processing Error,243.25,Lost,9.19,22
361,1000631,2026-01-14,Product Not Received,4620.14,Partially Recovered,784.82,30
362,202852,2025-12-02,Fraud,2625.37,Partially Recovered,534.82,21
363,836910,2025-12-15,Product Not Received,484.03,Lost,62.67,22
364,1069723,2026-06-17,Product Not Received,18810.22,Lost,368.56,17
365,238976,2023-07-17,Product Not as Described,448.91,Lost,358.47,12
366,1064652,2026-07-30,Duplicate,132.26,Open,5.98,25
367,594106,2024-05-25,Product Not as Described,2115.26,Partially Recovered,1212.26,29
368,295803,2026-06-18,Processing Error,734.9,Partially Recovered,548.65,28
369,992617,2026-01-20,Duplicate,2294.25,Lost,1054.58,15
370,1189963,2026-03-02,Product Not Received,424.09,Lost,35.47,2
371,1464905,2024-05-30,Processing Error,338.68,Lost,192.2,27
372,536197,2024-01-01,Duplicate,1832.86,Won,91.8,9
373,1450327,2026-02-04,Product Not Received,731.61,Partially Recovered,372.48,23
374,984373,2025-05-04,Fraud,346.2,Partially Recovered,159.73,24
375,1011209,2026-01-15,Fraud,535.28,Open,261.19,12
376,1310029,2025-02-26,Product Not as Described,117.87,Won,50.43,13
377,847409,2023-12-24,Processing Error,2110.48,Open,22.52,4
378,1367855,2025-03-12,Fraud,2080.47,Partially Recovered,1023.36,16
379,936873,2024-02-11,Fraud,391.02,Won,257.21,11
380,1290201,2026-01-20,Fraud,22847.47,Lost,18713.94,4
381,653075,2025-10-23,Fraud,1253.97,Lost,1016.86,18
382,118481,2025-12-31,Product Not as Described,7823.25,Won,148.16,7
383,928556,2026-02-22,Product Not Received,1383.33,Partially Recovered,183.98,28
384,712140,2025-12-31,Fraud,175.74,Open,116.02,21
385,1371886,2026-04-09,Fraud,249.56,Partially Recovered,150.0,4
386,484305,2025-12-23,Product Not Received,748.46,Won,212.77,7
387,788073,2026-01-21,Product Not Received,866.05,Partially Recovered,680.94,22
388,1401049,2025-05-14,Product Not Received,230.28,Won,42.79,15
389,1254370,2025-12-14,Fraud,44.88,Won,11.47,28
390,874741,2025-10-22,Duplicate,1346.16,Partially Recovered,618.3,8
391,371956,2026-10-12,Product Not Received,1556.47,Open,1106.75,3
392,19743,2025-08-10,Fraud,1362.12,Lost,1029.37,2
393,1185771,2026-01-22,Duplicate,10196.38,Open,629.54,17
394,97785,2025-06-06,Product Not Received,14694.21,Lost,5242.87,22
395,1018048,2025-08-26,Product Not as Described,410.19,Won,97.16,22
396,658016,2026-03-17,Fraud,325.39,Won,216.22,2
397,924467,2025-08-29,Product Not Received,1698.8,Won,435.98,1
398,1255890,2024-08-17,Fraud,475.69,Lost,224.78,11
399,87662,2026-07-12,Duplicate,3910.74,Partially Recovered,3118.41,20
400,1048887,2025-09-10,Processing Error,200.69,Partially Recovered,61.22,12
401,920042,2024-02-10,Processing Error,195.48,Won,127.83,22
402,795953,2024-03-01,Processing Error,19928.11,Won,9275.06,29
403,987689,2025-05-30,Product Not as Described,2812.77,Lost,2043.82,21
404,791486,2025-12-15,Processing Error,454.59,Partially Recovered,286.37,29
405,565309,2026-04-05,Fraud,492.59,Partially Recovered,35.41,28
406,1288769,2025-01-04,Processing Error,884.42,Won,375.62,20
407,1486498,2025-11-24,Fraud,338.21,Partially Recovered,57.6,3
408,496450,2025-08-25,Processing Error,177.82,Won,114.86,22
409,787364,2025-10-02,Duplicate,553.55,Won,128.77,17
410,78258,2025-04-22,Duplicate,7394.78,Partially Recovered,2869.08,15
