merchant_id,merchant_name,merchant_category,merchant_city,merchant_state,merchant_tier,onboarding_date,risk_rating,settlement_cycle
500050,Merchant_500050,E-commerce,Surat,Gujarat,SMB,2024-12-22,Low,T+2
500051,Merchant_500051,Government,Nagpur,Maharashtra,SMB,2022-04-10,Low,T+1
500052,Merchant_500052,Government,Delhi,Delhi,SMB,2026-03-19,Medium,T+1
500053,Merchant_500053,Telecom,Chennai,Tamil Nadu,SMB,2019-05-09,Low,T+1
500054,Merchant_500054,Utilities,Hyderabad,Telangana,Mid-Market,2022-10-12,Low,T+2
500055,Merchant_500055,E-commerce,Coimbatore,Tamil Nadu,SMB,2024-07-25,Low,T+1
500056,Merchant_500056,Entertainment,Mumbai,Maharashtra,SMB,2024-11-13,Low,T+1
500057,Merchant_500057,Entertainment,Lucknow,Uttar Pradesh,Enterprise,2021-01-30,Medium,T+1
500058,Merchant_500058,Electronics,Chennai,Tamil Nadu,SMB,2023-05-15,Medium,T+2
500059,Merchant_500059,Healthcare,Chandigarh,Chandigarh,SMB,2020-09-24,Low,T+2
500060,Merchant_500060,Utilities,Vadodara,Gujarat,SMB,2025-12-02,Medium,T+2
500061,Merchant_500061,Food Delivery,Mumbai,Maharashtra,SMB,2019-12-07,Low,T+1
500062,Merchant_500062,Healthcare,Kolkata,West Bengal,SMB,2024-04-15,Low,T+1
500063,Merchant_500063,Restaurants,Chandigarh,Chandigarh,SMB,2022-09-16,Low,T+2
500064,Merchant_500064,Telecom,Hyderabad,Telangana,Mid-Market,2021-09-19,Low,T+1
500065,Merchant_500065,Grocery,Coimbatore,Tamil Nadu,Mid-Market,2025-04-29,Low,T+1
500066,Merchant_500066,Restaurants,Coimbatore,Tamil Nadu,SMB,2022-10-11,Medium,T+1
500067,Merchant_500067,Grocery,Bhopal,Madhya Pradesh,SMB,2021-10-20,Low,T+1
500068,Merchant_500068,Government,Kochi,Kerala,SMB,2023-10-16,High,T+1
500069,Merchant_500069,Government,Pune,Maharashtra,SMB,2024-04-17,Low,T+1
500070,Merchant_500070,Insurance,Delhi,Delhi,SMB,2020-12-29,Low,T+2
500071,Merchant_500071,Restaurants,Vadodara,Gujarat,Mid-Market,2025-11-08,Low,T+2
500072,Merchant_500072,Restaurants,Vadodara,Gujarat,Enterprise,2021-05-06,Low,T+1
500073,Merchant_500073,Education,Chennai,Tamil Nadu,SMB,2019-09-11,Low,T+1
500074,Merchant_500074,Electronics,Kochi,Kerala,Mid-Market,2024-01-12,Low,T+1
500075,Merchant_500075,Telecom,Visakhapatnam,Andhra Pradesh,SMB,2023-07-24,Low,T+1
500076,Merchant_500076,Grocery,Nagpur,Maharashtra,Mid-Market,2020-07-09,Low,T+1
500077,Merchant_500077,Education,Nagpur,Maharashtra,Mid-Market,2024-07-31,Low,T+2
500078,Merchant_500078,Restaurants,Chennai,Tamil Nadu,SMB,2019-11-05,Low,T+3
500079,Merchant_500079,Fuel,Lucknow,Uttar Pradesh,SMB,2023-01-18,Low,T+1
500080,Merchant_500080,Insurance,Kolkata,West Bengal,SMB,2020-01-28,Low,T+1
500081,Merchant_500081,Utilities,Vadodara,Gujarat,SMB,2024-07-14,Medium,T+2
500082,Merchant_500082,Government,Ahmedabad,Gujarat,Mid-Market,2024-03-16,Low,T+1
500083,Merchant_500083,Healthcare,Chennai,Tamil Nadu,Mid-Market,2022-02-20,Medium,T+1
500084,Merchant_500084,Insurance,Indore,Madhya Pradesh,SMB,2026-01-05,Low,T+2
500085,Merchant_500085,Insurance,Indore,Madhya Pradesh,SMB,2022-08-25,Low,T+2
500086,Merchant_500086,Grocery,Coimbatore,Tamil Nadu,SMB,2022-11-19,Low,T+1
500087,Merchant_500087,Insurance,Nagpur,Maharashtra,SMB,2022-05-31,Low,T+1
500088,Merchant_500088,Entertainment,Indore,Madhya Pradesh,Mid-Market,2024-09-27,High,T+1
500089,Merchant_500089,Food Delivery,Nagpur,Maharashtra,SMB,2021-03-29,Medium,T+1
500090,Merchant_500090,Pharmacy,Jaipur,Rajasthan,SMB,2022-07-09,Low,T+1
500091,Merchant_500091,Grocery,Coimbatore,Tamil Nadu,SMB,2026-06-22,Low,T+1
500092,Merchant_500092,Telecom,Lucknow,Uttar Pradesh,Enterprise,2025-07-13,Medium,T+1
500093,Merchant_500093,Pharmacy,Ahmedabad,Gujarat,Mid-Market,2026-03-13,Low,T+1
500094,Merchant_500094,Fuel,Pune,Maharashtra,SMB,2025-10-17,Low,T+2
500095,Merchant_500095,Travel,Jaipur,Rajasthan,SMB,2019-02-28,Low,T+1
500096,Merchant_500096,Restaurants,Chennai,Tamil Nadu,SMB,2021-11-06,Low,T+2
500097,Merchant_500097,Entertainment,Pune,Maharashtra,SMB,2023-05-23,Medium,T+1
500098,Merchant_500098,Insurance,Pune,Maharashtra,SMB,2021-07-12,Medium,T+2
500099,Merchant_500099,Utilities,Mumbai,Maharashtra,SMB,2021-03-18,Low,T+3
500100,Merchant_500100,E-commerce,Delhi,Delhi,Mid-Market,2019-02-25,Low,T+2
500101,Merchant_500101,Grocery,Hyderabad,Telangana,SMB,2024-03-20,Medium,T+1
500102,Merchant_500102,Telecom,Visakhapatnam,Andhra Pradesh,Enterprise,2019-07-27,Low,T+1
500103,Merchant_500103,Telecom,Vadodara,Gujarat,SMB,2021-11-02,High,T+2
500104,Merchant_500104,Education,Visakhapatnam,Andhra Pradesh,SMB,2025-09-07,Low,T+2
500105,Merchant_500105,Utilities,Coimbatore,Tamil Nadu,SMB,2020-09-10,Low,T+1
500106,Merchant_500106,Food Delivery,Vadodara,Gujarat,Mid-Market,2024-01-06,Low,T+1
500107,Merchant_500107,Utilities,Nagpur,Maharashtra,Enterprise,2026-03-15,Medium,T+1
500108,Merchant_500108,Food Delivery,Kolkata,West Bengal,SMB,2020-11-01,Low,T+2
500109,Merchant_500109,Food Delivery,Kochi,Kerala,SMB,2024-08-01,Low,T+2
500110,Merchant_500110,Restaurants,Surat,Gujarat,Enterprise,2026-06-12,Low,T+1
500111,Merchant_500111,E-commerce,Indore,Madhya Pradesh,Mid-Market,2019-03-25,Low,T+1
500112,Merchant_500112,Fuel,Mumbai,Maharashtra,SMB,2022-06-16,Medium,T+1
500113,Merchant_500113,Fashion,Chandigarh,Chandigarh,SMB,2019-03-25,Medium,T+1
500114,Merchant_500114,Entertainment,Kochi,Kerala,SMB,2022-06-25,Low,T+1
500115,Merchant_500115,Fuel,Nagpur,Maharashtra,Mid-Market,2025-05-13,Low,T+1
500116,Merchant_500116,Food Delivery,Chandigarh,Chandigarh,SMB,2022-07-19,Low,T+1
500117,Merchant_500117,Electronics,Delhi,Delhi,Mid-Market,2019-06-02,Low,T+1
500118,Merchant_500118,Pharmacy,Surat,Gujarat,SMB,2020-01-23,Low,T+2
500119,Merchant_500119,E-commerce,Nashik,Maharashtra,SMB,2024-11-28,Low,T+1
500120,Merchant_500120,Healthcare,Pune,Maharashtra,Mid-Market,2023-06-22,Low,T+2
500121,Merchant_500121,Fuel,Chennai,Tamil Nadu,SMB,2019-05-21,High,T+2
500122,Merchant_500122,Food Delivery,Ahmedabad,Gujarat,Mid-Market,2021-03-21,Low,T+2
500123,Merchant_500123,Fashion,Surat,Gujarat,Mid-Market,2023-11-27,Low,T+2
500124,Merchant_500124,E-commerce,Ahmedabad,Gujarat,SMB,2021-03-15,Low,T+1
500125,Merchant_500125,Education,Vadodara,Gujarat,SMB,2019-08-07,Low,T+2
500126,Merchant_500126,Healthcare,Jaipur,Rajasthan,SMB,2022-09-04,Low,T+3
500127,Merchant_500127,Entertainment,Mumbai,Maharashtra,SMB,2022-04-30,Low,T+3
500128,Merchant_500128,Education,Coimbatore,Tamil Nadu,SMB,2019-10-11,Low,T+2
500129,Merchant_500129,Fuel,Pune,Maharashtra,SMB,2019-05-05,Low,T+2
500130,Merchant_500130,E-commerce,Ahmedabad,Gujarat,SMB,2025-01-14,Low,T+2
500131,Merchant_500131,Grocery,Ahmedabad,Gujarat,SMB,2020-01-30,Low,T+1
500132,Merchant_500132,Pharmacy,Hyderabad,Telangana,SMB,2024-11-11,Low,T+1
500133,Merchant_500133,Education,Nashik,Maharashtra,SMB,2019-09-08,Low,T+1
500134,Merchant_500134,Utilities,Chandigarh,Chandigarh,SMB,2022-01-29,Medium,T+1
500135,Merchant_500135,Education,Delhi,Delhi,SMB,2019-03-27,Medium,T+2
500136,Merchant_500136,Fuel,Vadodara,Gujarat,SMB,2023-01-09,Low,T+2
500137,Merchant_500137,E-commerce,Hyderabad,Telangana,Mid-Market,2026-03-07,Medium,T+1
500138,Merchant_500138,Fuel,Ahmedabad,Gujarat,Mid-Market,2026-01-26,Medium,T+1
500139,Merchant_500139,Education,Nagpur,Maharashtra,SMB,2019-02-28,Low,T+1
500140,Merchant_500140,E-commerce,Bengaluru,Karnataka,SMB,2024-04-18,Low,T+1
500141,Merchant_500141,Entertainment,Indore,Madhya Pradesh,SMB,2023-11-26,Low,T+1
500142,Merchant_500142,Utilities,Mumbai,Maharashtra,SMB,2020-10-17,Low,T+1
500143,Merchant_500143,Utilities,Nagpur,Maharashtra,Enterprise,2026-05-14,Low,T+2
500144,Merchant_500144,Pharmacy,Hyderabad,Telangana,Mid-Market,2019-12-09,Medium,T+2
500145,Merchant_500145,Education,Bhopal,Madhya Pradesh,Mid-Market,2021-12-19,Low,T+1
500146,Merchant_500146,Utilities,Nagpur,Maharashtra,Mid-Market,2021-12-14,Medium,T+2
500147,Merchant_500147,Pharmacy,Lucknow,Uttar Pradesh,SMB,2019-03-20,Low,T+2
500148,Merchant_500148,Fuel,Pune,Maharashtra,SMB,2022-03-27,Medium,T+1
500149,Merchant_500149,Telecom,Coimbatore,Tamil Nadu,SMB,2022-11-02,Low,T+2
500150,Merchant_500150,Education,Kolkata,West Bengal,SMB,2023-11-07,Low,T+2
500151,Merchant_500151,Healthcare,Kochi,Kerala,SMB,2024-07-25,Low,T+1
500152,Merchant_500152,Utilities,Visakhapatnam,Andhra Pradesh,SMB,2025-09-08,Low,T+2
500153,Merchant_500153,Healthcare,Nagpur,Maharashtra,SMB,2025-04-21,Low,T+1
500154,Merchant_500154,Food Delivery,Bengaluru,Karnataka,SMB,2026-01-18,Low,T+1
500155,Merchant_500155,Restaurants,Pune,Maharashtra,Mid-Market,2026-01-16,Medium,T+1
500156,Merchant_500156,Fuel,Hyderabad,Telangana,Mid-Market,2022-11-07,Low,T+2
500157,Merchant_500157,Education,Nagpur,Maharashtra,SMB,2021-07-05,Low,T+1
500158,Merchant_500158,Restaurants,Surat,Gujarat,SMB,2019-08-20,Low,T+2
500159,Merchant_500159,Entertainment,Indore,Madhya Pradesh,SMB,2023-05-04,Medium,T+1
500160,Merchant_500160,Fashion,Bengaluru,Karnataka,Enterprise,2019-04-13,Low,T+2
500161,Merchant_500161,Utilities,Nagpur,Maharashtra,Mid-Market,2023-05-30,Low,T+1
500162,Merchant_500162,Fashion,Pune,Maharashtra,SMB,2024-08-27,Low,T+2
500163,Merchant_500163,E-commerce,Indore,Madhya Pradesh,SMB,2020-09-13,Low,T+1
500164,Merchant_500164,E-commerce,Bhopal,Madhya Pradesh,SMB,2023-08-29,High,T+1
500165,Merchant_500165,Insurance,Vadodara,Gujarat,Mid-Market,2023-12-19,Low,T+2
500166,Merchant_500166,Electronics,Kochi,Kerala,Mid-Market,2025-05-01,Low,T+2
500167,Merchant_500167,Insurance,Mumbai,Maharashtra,SMB,2020-02-28,Medium,T+1
500168,Merchant_500168,Grocery,Nagpur,Maharashtra,Mid-Market,2020-02-09,Low,T+2
500169,Merchant_500169,Grocery,Kochi,Kerala,SMB,2026-02-06,Low,T+2
500170,Merchant_500170,Grocery,Chennai,Tamil Nadu,SMB,2025-05-05,Low,T+2
500171,Merchant_500171,Fashion,Hyderabad,Telangana,SMB,2021-10-20,Low,T+1
500172,Merchant_500172,Fashion,Visakhapatnam,Andhra Pradesh,SMB,2020-05-18,Low,T+1
500173,Merchant_500173,Food Delivery,Vadodara,Gujarat,SMB,2022-11-02,Low,T+1
500174,Merchant_500174,Fuel,Hyderabad,Telangana,SMB,2021-05-04,Low,T+1
500175,Merchant_500175,Electronics,Mumbai,Maharashtra,SMB,2024-01-28,Low,T+1
500176,Merchant_500176,Travel,Chennai,Tamil Nadu,Enterprise,2022-02-13,Low,T+1
500177,Merchant_500177,E-commerce,Nagpur,Maharashtra,Mid-Market,2023-10-03,Low,T+1
500178,Merchant_500178,Telecom,Bengaluru,Karnataka,SMB,2024-08-12,Low,T+1
500179,Merchant_500179,Travel,Nagpur,Maharashtra,SMB,2019-03-31,Low,T+1
500180,Merchant_500180,E-commerce,Coimbatore,Tamil Nadu,SMB,2025-03-04,Low,T+2
500181,Merchant_500181,Travel,Vadodara,Gujarat,SMB,2022-07-25,Medium,T+2
500182,Merchant_500182,Insurance,Ahmedabad,Gujarat,SMB,2024-02-11,Medium,T+2
500183,Merchant_500183,Telecom,Nashik,Maharashtra,SMB,2026-03-10,Low,T+2
500184,Merchant_500184,Utilities,Coimbatore,Tamil Nadu,Mid-Market,2020-04-19,Medium,T+1
500185,Merchant_500185,Utilities,Hyderabad,Telangana,SMB,2024-02-27,Low,T+1
500186,Merchant_500186,Fashion,Chandigarh,Chandigarh,SMB,2024-03-20,Low,T+1
500187,Merchant_500187,Education,Nagpur,Maharashtra,SMB,2020-06-15,High,T+2
500188,Merchant_500188,Electronics,Coimbatore,Tamil Nadu,SMB,2024-10-23,Low,T+2
500189,Merchant_500189,Government,Ahmedabad,Gujarat,SMB,2024-11-04,Low,T+1
500190,Merchant_500190,Electronics,Surat,Gujarat,SMB,2022-02-25,Low,T+2
500191,Merchant_500191,Restaurants,Indore,Madhya Pradesh,SMB,2021-08-07,Low,T+2
500192,Merchant_500192,Food Delivery,Delhi,Delhi,SMB,2021-05-29,Low,T+2
500193,Merchant_500193,Education,Chandigarh,Chandigarh,SMB,2026-07-02,Low,T+1
500194,Merchant_500194,Fashion,Jaipur,Rajasthan,SMB,2025-11-10,Low,T+2
500195,Merchant_500195,Entertainment,Kolkata,West Bengal,SMB,2025-10-14,Low,T+2
500196,Merchant_500196,Electronics,Bhopal,Madhya Pradesh,Enterprise,2024-05-21,Low,T+1
500197,Merchant_500197,E-commerce,Lucknow,Uttar Pradesh,Enterprise,2025-09-29,Low,T+1
500198,Merchant_500198,Grocery,Hyderabad,Telangana,Mid-Market,2021-01-04,Low,T+1
500199,Merchant_500199,Education,Delhi,Delhi,Mid-Market,2020-12-05,Low,T+2
500200,Merchant_500200,Restaurants,Visakhapatnam,Andhra Pradesh,SMB,2021-05-24,High,T+2
500201,Merchant_500201,Electronics,Kolkata,West Bengal,SMB,2025-12-17,Low,T+2
500202,Merchant_500202,Restaurants,Coimbatore,Tamil Nadu,SMB,2021-02-09,Low,T+1
500203,Merchant_500203,Telecom,Kolkata,West Bengal,SMB,2024-12-05,Low,T+2
500204,Merchant_500204,Education,Surat,Gujarat,SMB,2024-06-09,Low,T+1
500205,Merchant_500205,Utilities,Surat,Gujarat,SMB,2025-10-08,Low,T+3
500206,Merchant_500206,Restaurants,Nagpur,Maharashtra,Mid-Market,2026-02-04,Low,T+1
500207,Merchant_500207,Healthcare,Kolkata,West Bengal,SMB,2022-11-19,Low,T+1
500208,Merchant_500208,Insurance,Ahmedabad,Gujarat,SMB,2024-08-26,Low,T+2
500209,Merchant_500209,Telecom,Delhi,Delhi,SMB,2025-02-21,Low,T+1
500210,Merchant_500210,E-commerce,Kolkata,West Bengal,SMB,2023-01-26,Low,T+2
500211,Merchant_500211,Entertainment,Surat,Gujarat,Mid-Market,2020-11-10,Low,T+1
500212,Merchant_500212,Grocery,Surat,Gujarat,Mid-Market,2019-08-30,Low,T+1
500213,Merchant_500213,Food Delivery,Hyderabad,Telangana,SMB,2021-12-06,Low,T+2
500214,Merchant_500214,Government,Ahmedabad,Gujarat,SMB,2026-06-30,Low,T+2
500215,Merchant_500215,Pharmacy,Coimbatore,Tamil Nadu,Mid-Market,2021-09-26,Low,T+3
500216,Merchant_500216,Entertainment,Surat,Gujarat,Enterprise,2020-02-26,Low,T+1
500217,Merchant_500217,Fuel,Nashik,Maharashtra,SMB,2021-02-23,Low,T+2
500218,Merchant_500218,Electronics,Surat,Gujarat,SMB,2021-04-01,Low,T+1
500219,Merchant_500219,Insurance,Jaipur,Rajasthan,Enterprise,2019-06-12,Low,T+1
500220,Merchant_500220,Travel,Surat,Gujarat,SMB,2024-08-25,Low,T+1
500221,Merchant_500221,Electronics,Surat,Gujarat,Mid-Market,2021-01-13,Low,T+1
500222,Merchant_500222,Entertainment,Kolkata,West Bengal,SMB,2023-09-07,Low,T+1
500223,Merchant_500223,Restaurants,Nashik,Maharashtra,Enterprise,2022-10-20,Low,T+3
500224,Merchant_500224,Education,Hyderabad,Telangana,SMB,2024-12-17,Medium,T+3
500225,Merchant_500225,Fashion,Chandigarh,Chandigarh,SMB,2024-01-24,Low,T+1
500226,Merchant_500226,Travel,Pune,Maharashtra,Mid-Market,2021-03-24,Low,T+1
500227,Merchant_500227,Electronics,Pune,Maharashtra,Enterprise,2020-10-13,Medium,T+1
500228,Merchant_500228,Fashion,Chennai,Tamil Nadu,SMB,2025-10-11,High,T+1
500229,Merchant_500229,Utilities,Visakhapatnam,Andhra Pradesh,SMB,2020-06-27,High,T+2
500230,Merchant_500230,Insurance,Pune,Maharashtra,Mid-Market,2022-03-22,Medium,T+1
500231,Merchant_500231,Travel,Lucknow,Uttar Pradesh,SMB,2024-02-02,Medium,T+2
500232,Merchant_500232,Entertainment,Nashik,Maharashtra,Mid-Market,2022-12-11,Low,T+2
500233,Merchant_500233,Grocery,Kolkata,West Bengal,SMB,2021-01-06,Medium,T+2
500234,Merchant_500234,Insurance,Indore,Madhya Pradesh,SMB,2021-10-27,Low,T+2
500235,Merchant_500235,Fashion,Chandigarh,Chandigarh,SMB,2025-11-15,Low,T+1
500236,Merchant_500236,Pharmacy,Nashik,Maharashtra,SMB,2019-08-17,Medium,T+1
500237,Merchant_500237,Education,Mumbai,Maharashtra,Mid-Market,2024-09-13,Low,T+1
500238,Merchant_500238,Pharmacy,Nagpur,Maharashtra,SMB,2025-07-21,Medium,T+2
500239,Merchant_500239,Travel,Bengaluru,Karnataka,SMB,2021-11-09,Low,T+1
500240,Merchant_500240,Education,Bengaluru,Karnataka,SMB,2025-12-08,Low,T+1
500241,Merchant_500241,Pharmacy,Hyderabad,Telangana,SMB,2024-12-27,Low,T+2
500242,Merchant_500242,Pharmacy,Nagpur,Maharashtra,SMB,2023-07-15,Low,T+1
500243,Merchant_500243,Healthcare,Nashik,Maharashtra,SMB,2019-02-04,Medium,T+1
500244,Merchant_500244,Government,Coimbatore,Tamil Nadu,SMB,2020-10-28,Medium,T+1
500245,Merchant_500245,Food Delivery,Bengaluru,Karnataka,SMB,2021-09-04,Low,T+1
500246,Merchant_500246,Telecom,Surat,Gujarat,Mid-Market,2023-09-23,Low,T+2
500247,Merchant_500247,Pharmacy,Visakhapatnam,Andhra Pradesh,SMB,2024-05-26,Low,T+1
500248,Merchant_500248,Electronics,Visakhapatnam,Andhra Pradesh,SMB,2023-06-28,Medium,T+1
500249,Merchant_500249,E-commerce,Vadodara,Gujarat,SMB,2023-11-03,Low,T+1
500250,Merchant_500250,E-commerce,Chennai,Tamil Nadu,Enterprise,2025-03-27,Low,T+1
500251,Merchant_500251,Electronics,Kochi,Kerala,SMB,2020-12-15,Low,T+2
500252,Merchant_500252,Healthcare,Mumbai,Maharashtra,Mid-Market,2025-06-15,Low,T+1
500253,Merchant_500253,Insurance,Visakhapatnam,Andhra Pradesh,SMB,2023-09-17,Low,T+1
500254,Merchant_500254,Grocery,Nagpur,Maharashtra,SMB,2020-05-14,Low,T+2
500255,Merchant_500255,Entertainment,Surat,Gujarat,Mid-Market,2019-09-27,Low,T+1
500256,Merchant_500256,Government,Delhi,Delhi,SMB,2019-12-19,Low,T+2
500257,Merchant_500257,Fuel,Chennai,Tamil Nadu,Mid-Market,2020-06-09,Low,T+1
500258,Merchant_500258,Utilities,Delhi,Delhi,Mid-Market,2025-04-08,Low,T+1
500259,Merchant_500259,Fashion,Chennai,Tamil Nadu,SMB,2019-04-14,Low,T+3
500260,Merchant_500260,Government,Jaipur,Rajasthan,SMB,2022-01-08,Low,T+1
500261,Merchant_500261,Grocery,Chandigarh,Chandigarh,SMB,2019-02-01,Low,T+2
500262,Merchant_500262,Healthcare,Ahmedabad,Gujarat,Enterprise,2020-07-10,Low,T+2
500263,Merchant_500263,E-commerce,Nagpur,Maharashtra,SMB,2021-10-11,Low,T+1
500264,Merchant_500264,Pharmacy,Nagpur,Maharashtra,SMB,2025-03-31,Low,T+1
500265,Merchant_500265,Government,Nashik,Maharashtra,SMB,2023-12-05,Low,T+1
500266,Merchant_500266,Restaurants,Ahmedabad,Gujarat,Enterprise,2021-10-19,Low,T+1
500267,Merchant_500267,Fuel,Nagpur,Maharashtra,Mid-Market,2023-10-04,Low,T+2
500268,Merchant_500268,Government,Kochi,Kerala,SMB,2019-02-16,Low,T+1
500269,Merchant_500269,Utilities,Chennai,Tamil Nadu,Mid-Market,2020-06-22,Low,T+2
500270,Merchant_500270,Entertainment,Mumbai,Maharashtra,Mid-Market,2020-10-04,Low,T+2
500271,Merchant_500271,Electronics,Surat,Gujarat,Mid-Market,2023-12-09,Low,T+1
500272,Merchant_500272,Grocery,Nagpur,Maharashtra,SMB,2020-04-01,Low,T+2
500273,Merchant_500273,Travel,Coimbatore,Tamil Nadu,SMB,2020-04-11,Low,T+1
500274,Merchant_500274,Food Delivery,Pune,Maharashtra,SMB,2023-05-15,Low,T+1
500275,Merchant_500275,Education,Delhi,Delhi,Mid-Market,2019-06-01,Low,T+3
500276,Merchant_500276,Entertainment,Chandigarh,Chandigarh,SMB,2026-06-06,Low,T+2
500277,Merchant_500277,E-commerce,Bengaluru,Karnataka,Mid-Market,2022-07-02,Low,T+1
500278,Merchant_500278,Government,Pune,Maharashtra,Mid-Market,2023-03-06,Medium,T+2
500279,Merchant_500279,E-commerce,Chennai,Tamil Nadu,SMB,2021-05-13,Medium,T+2
500280,Merchant_500280,Food Delivery,Bengaluru,Karnataka,Mid-Market,2023-06-05,Low,T+1
500281,Merchant_500281,Electronics,Ahmedabad,Gujarat,Mid-Market,2024-05-04,Medium,T+2
500282,Merchant_500282,Telecom,Pune,Maharashtra,Mid-Market,2021-09-06,Low,T+2
500283,Merchant_500283,Fashion,Vadodara,Gujarat,SMB,2021-08-13,Low,T+2
500284,Merchant_500284,Government,Bengaluru,Karnataka,SMB,2022-07-02,Low,T+1
500285,Merchant_500285,Healthcare,Bengaluru,Karnataka,SMB,2019-07-17,Low,T+1
500286,Merchant_500286,Entertainment,Indore,Madhya Pradesh,SMB,2020-01-03,Low,T+1
500287,Merchant_500287,Fashion,Mumbai,Maharashtra,SMB,2024-02-04,Low,T+1
