chargeback_id,transaction_id,chargeback_date,reason_code,chargeback_amount_inr,chargeback_status,recovery_amount_inr,merchant_response_days
3005403,90343176,2024-01-22 14:21:33,Fraud,1188.5,Represented,829.45,17
3017443,90161037,2024-01-22 16:02:06,Wrong Amount,1160.05,Pending,0.0,11
3014287,90403794,2024-01-22 18:23:06,Fraud,1227.57,Pending,0.0,26
3009490,90775654,2024-01-22 22:31:34,Wrong Amount,1648.93,Lost,0.0,30
3013835,91203946,2024-01-22 23:12:22,Product Not Received,659.35,Lost,0.0,25
3001904,90272419,2024-01-23 00:42:52,Service Not Provided,10699.02,Represented,9976.05,11
3021819,91354544,2024-01-23 00:51:21,Product Not Received,851.21,Pending,0.0,1
3023165,91137789,2024-01-23 00:53:53,Authorization Issue,163.09,Won,88.9,4
3008694,91332034,2024-01-23 01:52:00,Fraud,2848.46,Won,2390.22,4
3010422,90805691,2024-01-23 09:01:21,Authorization Issue,280.35,Won,201.62,5
3020549,90684529,2024-01-23 10:10:52,Product Not Received,2242.44,Won,1687.82,11
3018973,90800574,2024-01-23 10:30:16,Wrong Amount,12794.71,Lost,0.0,16
3013873,90736676,2024-01-23 12:48:07,Wrong Amount,787.45,Won,666.47,20
3006483,91353389,2024-01-23 21:45:30,Duplicate,902.43,Represented,511.11,3
3021429,91281515,2024-01-24 01:54:41,Fraud,2355.72,Won,1403.9,27
3022937,90293940,2024-01-24 02:59:05,Product Not Received,277.48,Pending,0.0,6
3017220,91260531,2024-01-24 03:03:35,Fraud,249.55,Represented,164.13,3
3007392,90891298,2024-01-24 04:18:51,Wrong Amount,690.39,Won,475.35,4
3010695,90865291,2024-01-24 04:54:16,Duplicate,896.25,Represented,829.49,21
3001662,90465836,2024-01-24 06:03:05,Wrong Amount,2859.07,Pending,0.0,10
3001797,90757863,2024-01-24 06:32:51,Authorization Issue,539.42,Won,507.06,30
3002807,90974006,2024-01-24 06:47:12,Authorization Issue,1231.62,Pending,0.0,7
3004360,91212520,2024-01-24 11:13:50,Authorization Issue,1171.31,Won,875.07,28
3012736,91490351,2024-01-24 11:56:03,Fraud,299.72,Represented,213.83,19
3015365,90900262,2024-01-24 12:03:30,Duplicate,458.93,Lost,0.0,1
3021799,90345292,2024-01-24 12:36:44,Fraud,244.74,Lost,0.0,7
3017286,90307710,2024-01-24 15:14:45,Fraud,685.16,Represented,369.33,25
3023432,90787876,2024-01-24 16:22:53,Product Not Received,214.63,Pending,0.0,13
3023677,91386803,2024-01-24 17:43:13,Fraud,661.42,Pending,0.0,16
3001960,90926555,2024-01-24 18:16:19,Product Not Received,573.52,Represented,324.97,5
3017892,90979324,2024-01-24 22:50:58,Service Not Provided,256.91,Lost,0.0,9
3001158,91372969,2024-01-25 00:08:21,Authorization Issue,956.87,Lost,0.0,6
3006562,91398983,2024-01-25 00:48:43,Fraud,2722.29,Won,2226.33,25
3000139,91336573,2024-01-25 01:37:27,Fraud,759.69,Won,720.16,14
3004799,90239072,2024-01-25 01:40:51,Authorization Issue,185.66,Lost,0.0,11
3011477,90031540,2024-01-25 02:03:30,Fraud,2167.32,Pending,0.0,1
3003497,91381313,2024-01-25 02:50:41,Product Not Received,195.43,Represented,136.87,23
3004566,90871327,2024-01-25 02:51:33,Authorization Issue,2286.4,Lost,0.0,24
3003931,91275992,2024-01-25 03:32:08,Wrong Amount,203.19,Won,109.97,19
3012301,90334283,2024-01-25 06:53:16,Product Not Received,245.42,Represented,147.45,12
3002636,90215528,2024-01-25 07:29:45,Duplicate,219.73,Lost,0.0,23
3012593,90612214,2024-01-25 07:59:15,Service Not Provided,136.28,Represented,74.92,25
3008112,90994390,2024-01-25 09:26:57,Service Not Provided,435.64,Lost,0.0,30
3013218,90704981,2024-01-25 09:36:24,Product Not Received,1710.45,Lost,0.0,4
3019097,91472172,2024-01-25 13:01:22,Wrong Amount,217.78,Lost,0.0,14
3018982,90782501,2024-01-25 14:34:46,Fraud,1632.76,Lost,0.0,29
3007074,91112676,2024-01-25 17:44:21,Service Not Provided,212.05,Won,156.43,6
3020922,90334505,2024-01-25 19:00:57,Product Not Received,413.97,Lost,0.0,11
3006368,91190618,2024-01-25 22:38:09,Service Not Provided,8059.05,Lost,0.0,27
3010603,91476657,2024-01-25 22:48:17,Wrong Amount,618.71,Represented,331.7,2
3016814,90576570,2024-01-26 05:11:50,Fraud,5492.8,Represented,4259.44,24
3016164,90718704,2024-01-26 05:12:16,Authorization Issue,713.7,Represented,670.46,25
3018284,91426692,2024-01-26 05:47:56,Fraud,35.2,Lost,0.0,21
3021389,90856201,2024-01-26 05:53:40,Product Not Received,871.49,Lost,0.0,28
3011147,90500592,2024-01-26 06:46:46,Service Not Provided,2638.9,Represented,1220.41,27
3013640,90630453,2024-01-26 07:01:27,Product Not Received,1090.95,Lost,0.0,23
3023606,91466290,2024-01-26 07:44:21,Duplicate,1226.44,Pending,0.0,6
3010258,90793028,2024-01-26 10:17:21,Product Not Received,165.77,Pending,0.0,29
3004044,90974130,2024-01-26 10:19:33,Service Not Provided,403.6,Won,191.12,7
3012279,90781742,2024-01-26 10:47:05,Fraud,201.83,Pending,0.0,17
3001384,90706491,2024-01-26 13:05:20,Service Not Provided,1092.77,Won,783.33,2
3017813,90425714,2024-01-26 13:27:28,Fraud,1806.13,Represented,827.62,30
3000991,91058683,2024-01-26 17:13:03,Service Not Provided,1096.0,Represented,903.48,22
3007963,90350660,2024-01-26 18:26:33,Service Not Provided,45.96,Lost,0.0,9
3023471,90871933,2024-01-26 18:57:14,Product Not Received,1300.16,Represented,666.06,18
3014639,90879369,2024-01-26 19:55:58,Authorization Issue,11193.94,Won,10178.41,26
3018125,90720191,2024-01-26 20:17:13,Authorization Issue,693.75,Represented,601.56,20
3001443,90801447,2024-01-27 01:07:38,Service Not Provided,10324.64,Pending,0.0,6
3023364,90516775,2024-01-27 02:08:59,Fraud,302.11,Represented,266.06,11
3020067,90355938,2024-01-27 02:35:37,Fraud,2582.25,Won,1989.56,21
3007414,91224554,2024-01-27 04:29:35,Product Not Received,3873.34,Pending,0.0,9
3014930,90301568,2024-01-27 05:17:59,Product Not Received,430.87,Won,366.11,17
3014259,90159175,2024-01-27 07:11:11,Fraud,854.97,Pending,0.0,2
3019521,90967623,2024-01-27 09:55:54,Fraud,1010.9,Won,919.97,12
3010107,90659349,2024-01-27 09:58:37,Fraud,445.65,Represented,420.92,3
3013172,90691876,2024-01-27 10:40:57,Wrong Amount,543.21,Won,367.81,16
3014538,90146101,2024-01-27 11:15:26,Fraud,1034.31,Won,467.67,15
3003738,90828024,2024-01-27 12:17:54,Authorization Issue,7224.36,Represented,3960.56,25
3001392,91451633,2024-01-27 17:08:19,Service Not Provided,647.37,Won,393.52,19
3001494,90543073,2024-01-27 21:02:51,Service Not Provided,129.05,Lost,0.0,8
3014591,90766063,2024-01-27 21:30:08,Fraud,2153.9,Lost,0.0,9
3017740,90428883,2024-01-28 01:08:39,Fraud,706.95,Won,420.01,5
3006772,90691753,2024-01-28 01:41:38,Authorization Issue,3330.39,Lost,0.0,12
3004280,91265656,2024-01-28 02:27:46,Fraud,933.84,Lost,0.0,3
3004845,90026954,2024-01-28 06:23:35,Product Not Received,568.43,Lost,0.0,25
3022877,90186558,2024-01-28 06:55:30,Service Not Provided,237.07,Lost,0.0,15
3013985,90490401,2024-01-28 09:06:37,Product Not Received,1940.1,Pending,0.0,27
3013028,90650498,2024-01-28 12:37:03,Product Not Received,2268.11,Lost,0.0,30
3008953,90231109,2024-01-28 13:54:58,Authorization Issue,1349.15,Lost,0.0,22
3002344,91179868,2024-01-28 14:02:03,Fraud,237.45,Lost,0.0,28
3015703,91213757,2024-01-28 17:31:02,Service Not Provided,471.22,Represented,432.65,13
3001183,90312203,2024-01-28 18:06:02,Wrong Amount,441.77,Represented,400.59,1
3001030,91310589,2024-01-28 18:20:57,Fraud,556.49,Pending,0.0,30
3016382,91396239,2024-01-28 19:06:18,Fraud,2005.03,Represented,1918.26,17
3006039,90235000,2024-01-28 19:24:11,Duplicate,2119.97,Pending,0.0,30
3002370,90537373,2024-01-28 19:30:49,Wrong Amount,730.4,Lost,0.0,21
3007044,90292062,2024-01-28 21:00:37,Duplicate,550.05,Lost,0.0,15
3010769,90786433,2024-01-28 22:24:52,Fraud,345.61,Lost,0.0,2
3014389,90102131,2024-01-28 22:25:04,Product Not Received,1073.88,Lost,0.0,13
3022513,91073825,2024-01-28 22:54:37,Product Not Received,482.75,Won,336.55,11
3013884,91180388,2024-01-29 00:15:15,Product Not Received,1038.92,Lost,0.0,25
3005340,91043648,2024-01-29 01:38:07,Duplicate,321.44,Pending,0.0,3
3007713,90746119,2024-01-29 02:11:27,Fraud,2791.01,Lost,0.0,15
3009603,90272232,2024-01-29 02:47:24,Wrong Amount,54.51,Represented,30.17,22
3017724,91106261,2024-01-29 03:40:09,Fraud,545.44,Pending,0.0,29
3005805,90063613,2024-01-29 04:26:53,Product Not Received,430.11,Pending,0.0,15
3019279,91110930,2024-01-29 07:07:25,Service Not Provided,708.53,Pending,0.0,22
3017032,90867447,2024-01-29 07:57:43,Fraud,369.17,Won,221.83,10
3003511,90673101,2024-01-29 08:00:31,Service Not Provided,903.3,Pending,0.0,23
3010377,90627253,2024-01-29 08:10:48,Fraud,259.2,Represented,197.23,19
3020676,90444607,2024-01-29 09:18:24,Product Not Received,585.83,Represented,508.45,17
3001932,91251195,2024-01-29 09:57:23,Wrong Amount,437.45,Pending,0.0,25
3003533,90127581,2024-01-29 11:02:33,Authorization Issue,1330.12,Won,1047.07,22
3008585,91315839,2024-01-29 13:27:09,Product Not Received,512.71,Represented,276.84,14
3015680,90857992,2024-01-29 13:59:46,Product Not Received,203.89,Won,154.12,3
3005953,91188230,2024-01-29 14:41:07,Wrong Amount,4457.49,Won,2575.42,9
3004632,90630600,2024-01-29 16:32:58,Product Not Received,2995.98,Won,2481.12,24
3015063,90794185,2024-01-29 18:41:10,Product Not Received,976.34,Lost,0.0,15
3004761,90823549,2024-01-29 21:09:20,Product Not Received,1411.66,Represented,686.14,18
3003312,91198959,2024-01-30 04:56:47,Fraud,862.8,Won,705.63,13
3002019,90934820,2024-01-30 05:30:24,Fraud,34.47,Lost,0.0,7
3006959,90699169,2024-01-30 05:31:47,Fraud,1977.43,Pending,0.0,21
3010275,90849507,2024-01-30 05:39:53,Fraud,980.83,Won,830.51,1
3004012,91113625,2024-01-30 06:29:53,Service Not Provided,6813.47,Represented,3252.3,27
3009996,90308678,2024-01-30 06:41:50,Fraud,631.01,Won,442.49,9
3023773,90786109,2024-01-30 09:55:34,Duplicate,15339.13,Lost,0.0,24
3022458,91434434,2024-01-30 11:24:05,Product Not Received,42.37,Lost,0.0,24
3009653,90001816,2024-01-30 14:15:40,Authorization Issue,2033.58,Won,1726.37,22
3006421,90793722,2024-01-30 15:29:19,Authorization Issue,3814.39,Pending,0.0,9
3016984,90061008,2024-01-30 15:55:44,Service Not Provided,927.8,Pending,0.0,22
3014497,90665897,2024-01-30 16:03:03,Fraud,175.61,Won,88.11,25
3005650,90672061,2024-01-30 16:09:18,Wrong Amount,1138.76,Pending,0.0,9
3001556,91138619,2024-01-30 16:19:41,Service Not Provided,567.92,Pending,0.0,12
3007172,90942437,2024-01-30 16:22:08,Wrong Amount,271.45,Represented,183.94,12
3004518,91469742,2024-01-30 18:03:13,Product Not Received,2002.79,Lost,0.0,8
3003010,90020869,2024-01-30 20:15:17,Fraud,967.47,Represented,930.82,11
3015539,90732629,2024-01-30 20:22:14,Product Not Received,634.63,Represented,338.5,19
3000962,90338329,2024-01-30 23:49:00,Fraud,7307.87,Pending,0.0,11
3021591,90137610,2024-01-31 00:23:09,Authorization Issue,674.69,Won,660.6,4
3015870,91460378,2024-01-31 00:25:05,Fraud,140.75,Represented,126.22,14
3007090,91072072,2024-01-31 01:59:51,Authorization Issue,15277.8,Lost,0.0,17
3017792,90122815,2024-01-31 02:49:06,Authorization Issue,240.31,Won,179.27,4
3001956,90381400,2024-01-31 04:59:25,Fraud,658.59,Lost,0.0,13
3014281,91364593,2024-01-31 05:28:39,Authorization Issue,2149.91,Lost,0.0,28
3016704,90199805,2024-01-31 05:43:14,Fraud,462.91,Lost,0.0,18
3013739,90469287,2024-01-31 07:02:17,Wrong Amount,1303.9,Represented,764.43,28
3000248,90166772,2024-01-31 07:58:46,Service Not Provided,470.84,Lost,0.0,17
3022763,90659421,2024-01-31 08:05:12,Wrong Amount,637.59,Lost,0.0,4
3011982,91270503,2024-01-31 08:43:02,Wrong Amount,1806.41,Represented,1142.6,14
3006350,90108739,2024-01-31 09:12:10,Product Not Received,471.85,Lost,0.0,7
3017042,90751064,2024-01-31 14:39:26,Authorization Issue,225.93,Represented,167.47,10
3007559,91008468,2024-01-31 20:01:31,Authorization Issue,237.44,Won,219.66,11
3021506,90064155,2024-02-01 01:28:17,Fraud,85.45,Represented,48.04,11
3018206,90041894,2024-02-01 02:35:36,Authorization Issue,254.07,Pending,0.0,7
3021260,91156270,2024-02-01 02:41:37,Fraud,234.83,Won,187.57,8
3019821,90208294,2024-02-01 03:06:13,Service Not Provided,397.25,Pending,0.0,24
3005152,90185976,2024-02-01 04:40:13,Fraud,140.72,Lost,0.0,2
3006094,90409695,2024-02-01 06:19:16,Wrong Amount,452.98,Won,306.12,17
3007823,90764332,2024-02-01 07:19:31,Service Not Provided,116.66,Pending,0.0,27
3023631,91052520,2024-02-01 08:58:32,Service Not Provided,548.76,Lost,0.0,10
3019009,91410028,2024-02-01 10:44:29,Product Not Received,1967.66,Pending,0.0,4
3012947,91105591,2024-02-01 11:01:27,Duplicate,583.44,Won,515.83,22
3018654,90636584,2024-02-01 12:14:54,Product Not Received,793.48,Lost,0.0,6
3021553,90317308,2024-02-01 12:39:08,Service Not Provided,4097.81,Lost,0.0,3
3020991,91392421,2024-02-01 13:02:52,Authorization Issue,661.23,Lost,0.0,17
3006271,90341607,2024-02-01 14:05:03,Product Not Received,907.51,Won,451.65,26
3016375,90389503,2024-02-01 15:41:19,Service Not Provided,617.64,Won,477.58,15
3007924,91408379,2024-02-01 15:54:35,Product Not Received,1338.24,Won,1003.89,17
3013495,90044763,2024-02-01 17:35:34,Fraud,317.55,Lost,0.0,5
3012744,90921562,2024-02-01 19:20:53,Fraud,167.03,Won,111.65,7
3005563,90065508,2024-02-01 19:30:47,Authorization Issue,648.95,Pending,0.0,6
3004794,90931267,2024-02-01 20:23:59,Product Not Received,1916.58,Won,1496.9,20
3017825,90816404,2024-02-01 21:59:04,Service Not Provided,163.21,Lost,0.0,26
3023509,90442304,2024-02-02 01:10:36,Authorization Issue,74799.18,Lost,0.0,18
3019185,91029288,2024-02-02 02:07:19,Fraud,304.43,Won,221.23,1
3006320,90074266,2024-02-02 02:21:52,Product Not Received,96.74,Won,46.83,24
3019880,90699679,2024-02-02 04:20:49,Wrong Amount,704.28,Represented,655.41,23
3019489,90419425,2024-02-02 04:36:46,Fraud,1045.78,Pending,0.0,18
3001737,90508679,2024-02-02 05:14:37,Product Not Received,378.52,Won,206.79,10
3005640,90964103,2024-02-02 05:52:42,Authorization Issue,3507.72,Lost,0.0,8
3002532,91302084,2024-02-02 06:10:46,Fraud,719.81,Pending,0.0,12
3009315,90260369,2024-02-02 09:06:55,Service Not Provided,990.34,Represented,691.9,25
3004907,90104595,2024-02-02 09:46:57,Fraud,311.96,Pending,0.0,28
3022818,90511054,2024-02-02 12:50:05,Wrong Amount,190.4,Won,86.55,15
3003000,90221617,2024-02-02 12:53:31,Service Not Provided,689.55,Represented,494.47,20
3001346,91217112,2024-02-02 12:54:05,Product Not Received,10746.77,Won,6485.88,21
3001595,91075607,2024-02-02 13:37:08,Wrong Amount,1837.98,Represented,1723.61,26
3010581,91238910,2024-02-02 14:04:19,Product Not Received,456.99,Lost,0.0,28
3016986,90040922,2024-02-02 16:08:38,Authorization Issue,2413.28,Won,1295.93,28
3001279,90458627,2024-02-02 16:19:52,Service Not Provided,700.76,Won,489.36,12
3011216,91037481,2024-02-02 17:21:51,Fraud,3408.41,Represented,2642.51,26
3012619,90269950,2024-02-02 17:31:30,Fraud,336.99,Lost,0.0,18
3014953,90959318,2024-02-02 18:00:49,Fraud,277.39,Pending,0.0,19
3022117,90618013,2024-02-02 18:10:20,Product Not Received,171.66,Lost,0.0,28
3020415,90175571,2024-02-02 18:18:21,Product Not Received,205.9,Lost,0.0,12
3018966,90409610,2024-02-02 18:28:38,Fraud,1188.08,Lost,0.0,27
3006857,90012700,2024-02-02 19:53:33,Product Not Received,28815.85,Won,24642.93,23
3004110,90249604,2024-02-02 20:07:53,Authorization Issue,818.18,Represented,686.22,10
3022269,90847036,2024-02-02 23:38:18,Wrong Amount,144.54,Lost,0.0,5
3008226,90915264,2024-02-02 23:39:56,Duplicate,271.38,Won,201.69,26
3018443,91135280,2024-02-02 23:46:19,Service Not Provided,1283.26,Lost,0.0,22
3000472,90858300,2024-02-03 00:24:50,Product Not Received,577.07,Won,557.85,22
3000335,90363593,2024-02-03 02:38:35,Product Not Received,539.04,Won,255.81,29
3008066,90380528,2024-02-03 02:44:42,Fraud,681.94,Pending,0.0,11
3001300,90123323,2024-02-03 03:37:30,Fraud,231.91,Lost,0.0,19
3023185,90408758,2024-02-03 04:13:32,Duplicate,240.67,Won,133.91,29
3001931,91252003,2024-02-03 05:45:04,Fraud,1223.48,Lost,0.0,3
3001051,90403172,2024-02-03 07:40:15,Fraud,452.73,Won,399.62,21
3014270,90214876,2024-02-03 08:17:02,Authorization Issue,4856.06,Represented,4576.87,2
3019000,91092806,2024-02-03 09:25:18,Fraud,290.04,Lost,0.0,17
3003818,91069818,2024-02-03 10:21:17,Product Not Received,1006.12,Pending,0.0,22
3021563,91099578,2024-02-03 11:56:36,Service Not Provided,602.4,Represented,415.03,19
3007647,90906775,2024-02-03 13:43:14,Authorization Issue,515.49,Lost,0.0,2
3009053,90510771,2024-02-03 14:29:39,Fraud,391.74,Won,369.1,21
3005984,90902294,2024-02-03 16:19:20,Fraud,1423.51,Pending,0.0,21
3007063,90834869,2024-02-03 19:39:59,Service Not Provided,3156.71,Lost,0.0,26
3006504,90665417,2024-02-03 20:11:07,Product Not Received,164.78,Pending,0.0,29
3023893,91179262,2024-02-03 20:20:52,Fraud,165.04,Won,137.2,28
3023323,91147694,2024-02-03 23:19:33,Service Not Provided,2287.01,Pending,0.0,24
