customer_id,customer_tenure_months,age,city,state,customer_segment,income_band,kyc_status,acquisition_channel,signup_date,risk_band
1000126,11,36,Nagpur,Maharashtra,Student,10L-20L,Verified,Paid Search,2023-05-30,Low
1000127,57,23,Pune,Maharashtra,SME Owner,10L-20L,Verified,Organic,2019-05-31,Medium
1000128,71,29,Coimbatore,Tamil Nadu,Mass Market,10L-20L,Verified,Partner,2026-04-29,Low
1000129,83,37,Nagpur,Maharashtra,Affluent,3L-6L,Verified,Paid Search,2021-07-14,Medium
1000130,54,31,Indore,Madhya Pradesh,SME Owner,3L-6L,Verified,Social,2022-10-24,Medium
1000131,75,38,Nagpur,Maharashtra,Mass Market,10L-20L,Pending,Paid Search,2021-11-01,Low
1000132,40,37,Nagpur,Maharashtra,Student,3L-6L,Verified,Paid Search,2024-02-15,Low
1000133,76,24,Pune,Maharashtra,Premium,<3L,Verified,Paid Search,2025-01-21,Low
1000134,66,30,Nagpur,Maharashtra,Affluent,6L-10L,Verified,Referral,2020-07-06,Low
1000135,78,46,Coimbatore,Tamil Nadu,SME Owner,10L-20L,Verified,Organic,2020-12-03,High
1000136,77,29,Kolkata,West Bengal,SME Owner,10L-20L,Verified,App Store,2019-05-14,Medium
1000137,58,23,Indore,Madhya Pradesh,SME Owner,20L+,Verified,Organic,2021-08-04,Low
1000138,19,26,Mumbai,Maharashtra,Premium,3L-6L,Verified,Paid Search,2019-02-11,Low
1000139,4,41,Kolkata,West Bengal,SME Owner,6L-10L,Rejected,Social,2020-03-12,High
1000140,28,29,Jaipur,Rajasthan,Premium,10L-20L,Verified,App Store,2020-07-27,Low
1000141,25,22,Visakhapatnam,Andhra Pradesh,SME Owner,<3L,Verified,Organic,2020-02-06,High
1000142,79,31,Hyderabad,Telangana,Student,6L-10L,Verified,Referral,2025-01-08,Low
1000143,4,39,Chennai,Tamil Nadu,Affluent,6L-10L,Verified,Organic,2019-02-19,Medium
1000144,46,27,Jaipur,Rajasthan,Affluent,6L-10L,Verified,App Store,2025-10-01,Medium
1000145,83,38,Visakhapatnam,Andhra Pradesh,Mass Market,3L-6L,Verified,Organic,2024-04-23,Low
1000146,24,37,Vadodara,Gujarat,Affluent,<3L,Verified,Referral,2026-02-15,Low
1000147,49,36,Mumbai,Maharashtra,Mass Market,6L-10L,Verified,Social,2025-06-29,Low
1000148,14,26,Hyderabad,Telangana,Mass Market,10L-20L,Verified,Organic,2025-12-02,Medium
1000149,36,24,Nashik,Maharashtra,Premium,10L-20L,Verified,Paid Search,2025-08-26,Medium
1000150,84,44,Pune,Maharashtra,Student,3L-6L,Verified,Organic,2024-05-31,Low
1000151,57,40,Vadodara,Gujarat,Mass Market,3L-6L,Rejected,Organic,2020-06-01,Low
1000152,45,37,Chennai,Tamil Nadu,Affluent,3L-6L,Verified,Social,2020-07-15,Low
1000153,82,37,Bhopal,Madhya Pradesh,Mass Market,6L-10L,Verified,Partner,2023-04-15,High
1000154,73,41,Chennai,Tamil Nadu,Mass Market,6L-10L,Verified,Social,2020-06-08,Low
1000155,24,29,Jaipur,Rajasthan,Mass Market,6L-10L,Verified,Social,2025-09-29,Low
1000156,54,43,Kochi,Kerala,Mass Market,6L-10L,Verified,App Store,2019-02-12,Low
1000157,55,31,Bengaluru,Karnataka,Affluent,<3L,Verified,Social,2025-11-05,Medium
1000158,38,32,Nagpur,Maharashtra,Mass Market,6L-10L,Verified,Paid Search,2026-03-20,Medium
1000159,16,48,Lucknow,Uttar Pradesh,Mass Market,3L-6L,Verified,Organic,2021-06-08,Low
1000160,73,40,Coimbatore,Tamil Nadu,Mass Market,6L-10L,Verified,Partner,2021-08-11,Medium
1000161,14,28,Visakhapatnam,Andhra Pradesh,Mass Market,6L-10L,Verified,Partner,2019-06-25,Low
1000162,30,39,Kochi,Kerala,Student,3L-6L,Verified,Social,2020-12-04,Low
1000163,21,31,Jaipur,Rajasthan,Premium,6L-10L,Verified,Partner,2020-09-18,Low
1000164,65,34,Jaipur,Rajasthan,Premium,3L-6L,Verified,Partner,2021-01-20,Medium
1000165,9,37,Jaipur,Rajasthan,Mass Market,20L+,Verified,App Store,2019-05-27,Medium
1000166,39,19,Nashik,Maharashtra,Premium,3L-6L,Verified,Organic,2025-01-07,Medium
1000167,71,30,Kolkata,West Bengal,Premium,<3L,Verified,App Store,2019-12-14,Medium
1000168,76,31,Delhi,Delhi,Mass Market,3L-6L,Verified,App Store,2025-06-19,Low
1000169,18,35,Kolkata,West Bengal,Affluent,<3L,Verified,Partner,2024-03-25,Low
1000170,43,22,Mumbai,Maharashtra,Mass Market,20L+,Verified,Referral,2025-07-01,Medium
1000171,42,20,Bengaluru,Karnataka,Mass Market,3L-6L,Verified,Organic,2020-09-01,Low
1000172,28,35,Pune,Maharashtra,Mass Market,20L+,Verified,Partner,2025-10-29,Low
1000173,68,45,Coimbatore,Tamil Nadu,Student,6L-10L,Verified,Paid Search,2022-02-20,Low
1000174,61,37,Chandigarh,Chandigarh,Mass Market,6L-10L,Verified,Organic,2021-08-27,Low
1000175,7,57,Kochi,Kerala,Affluent,10L-20L,Verified,Social,2023-11-20,Low
1000176,73,33,Surat,Gujarat,Mass Market,6L-10L,Verified,Partner,2026-03-03,Low
1000177,31,33,Chandigarh,Chandigarh,Mass Market,6L-10L,Verified,Organic,2019-06-01,Low
1000178,72,27,Delhi,Delhi,Mass Market,3L-6L,Verified,Referral,2021-12-06,Low
1000179,65,47,Bhopal,Madhya Pradesh,SME Owner,10L-20L,Verified,App Store,2021-04-04,High
1000180,41,28,Lucknow,Uttar Pradesh,Mass Market,3L-6L,Verified,Referral,2024-07-01,Medium
1000181,57,35,Bhopal,Madhya Pradesh,Affluent,6L-10L,Verified,Social,2025-02-12,Low
1000182,37,18,Delhi,Delhi,Student,10L-20L,Verified,Social,2024-03-01,Low
1000183,66,46,Surat,Gujarat,Mass Market,3L-6L,Verified,Organic,2021-01-02,Low
1000184,13,41,Kochi,Kerala,Mass Market,6L-10L,Verified,Social,2025-05-03,Low
1000185,51,32,Surat,Gujarat,Premium,3L-6L,Verified,Partner,2021-10-16,Low
1000186,4,32,Jaipur,Rajasthan,Mass Market,6L-10L,Rejected,Referral,2025-12-30,Low
1000187,61,37,Delhi,Delhi,Mass Market,6L-10L,Verified,App Store,2020-10-13,Low
1000188,79,52,Ahmedabad,Gujarat,Affluent,3L-6L,Verified,Partner,2022-12-09,Low
1000189,64,30,Hyderabad,Telangana,Mass Market,10L-20L,Verified,Organic,2023-04-14,Medium
1000190,61,37,Kolkata,West Bengal,Premium,20L+,Verified,Partner,2025-11-05,Low
1000191,69,23,Kochi,Kerala,Affluent,6L-10L,Pending,Paid Search,2021-04-11,Low
1000192,49,43,Indore,Madhya Pradesh,Mass Market,<3L,Verified,Paid Search,2021-02-15,Low
1000193,52,45,Indore,Madhya Pradesh,Mass Market,6L-10L,Verified,Referral,2025-12-15,Low
1000194,50,26,Ahmedabad,Gujarat,Premium,6L-10L,Verified,Referral,2019-11-06,Low
1000195,40,31,Visakhapatnam,Andhra Pradesh,Mass Market,10L-20L,Verified,Partner,2024-07-29,Low
1000196,2,46,Pune,Maharashtra,Affluent,6L-10L,Verified,App Store,2024-05-16,Low
1000197,7,36,Kolkata,West Bengal,Mass Market,3L-6L,Verified,App Store,2026-04-22,Medium
1000198,39,21,Bengaluru,Karnataka,Affluent,10L-20L,Verified,Organic,2025-02-15,Low
1000199,23,44,Kolkata,West Bengal,Mass Market,6L-10L,Verified,Organic,2025-02-08,Low
1000200,78,31,Visakhapatnam,Andhra Pradesh,Mass Market,20L+,Verified,Paid Search,2025-08-08,Low
1000201,83,24,Ahmedabad,Gujarat,Affluent,20L+,Verified,Social,2025-11-09,Low
1000202,39,40,Bhopal,Madhya Pradesh,Mass Market,10L-20L,Pending,Referral,2021-05-08,Low
1000203,59,55,Surat,Gujarat,Mass Market,10L-20L,Verified,Paid Search,2024-10-09,Low
1000204,49,35,Kochi,Kerala,Student,3L-6L,Verified,Partner,2020-04-16,Medium
1000205,21,32,Surat,Gujarat,Mass Market,<3L,Verified,Organic,2021-06-27,Low
1000206,32,19,Chennai,Tamil Nadu,SME Owner,10L-20L,Verified,Referral,2022-09-25,Low
1000207,33,22,Coimbatore,Tamil Nadu,Affluent,10L-20L,Verified,Referral,2020-04-06,Low
1000208,9,18,Visakhapatnam,Andhra Pradesh,Mass Market,<3L,Verified,Referral,2020-12-26,Medium
1000209,2,26,Chennai,Tamil Nadu,Premium,6L-10L,Verified,Partner,2019-01-04,Low
1000210,28,27,Coimbatore,Tamil Nadu,SME Owner,<3L,Verified,Partner,2019-01-22,Low
1000211,76,26,Chennai,Tamil Nadu,Mass Market,<3L,Verified,Partner,2023-01-04,Low
1000212,8,32,Chandigarh,Chandigarh,Affluent,20L+,Pending,Referral,2022-08-09,Medium
1000213,44,33,Coimbatore,Tamil Nadu,Mass Market,3L-6L,Verified,Organic,2022-02-22,Low
1000214,49,24,Jaipur,Rajasthan,Mass Market,6L-10L,Verified,Referral,2026-01-30,Medium
1000215,56,33,Chandigarh,Chandigarh,Student,3L-6L,Verified,Paid Search,2024-01-11,Low
1000216,83,40,Chennai,Tamil Nadu,Affluent,6L-10L,Verified,Paid Search,2021-12-03,Medium
1000217,33,43,Pune,Maharashtra,Affluent,6L-10L,Verified,Referral,2020-11-29,Medium
1000218,31,38,Pune,Maharashtra,Mass Market,3L-6L,Pending,App Store,2025-02-12,Medium
1000219,43,46,Jaipur,Rajasthan,Mass Market,<3L,Verified,Social,2019-11-06,Medium
1000220,73,21,Bhopal,Madhya Pradesh,Mass Market,3L-6L,Verified,Partner,2022-02-03,Low
1000221,50,18,Bengaluru,Karnataka,Mass Market,6L-10L,Rejected,Organic,2023-03-23,Medium
1000222,4,39,Surat,Gujarat,Premium,<3L,Verified,Paid Search,2020-01-27,Low
1000223,38,48,Chandigarh,Chandigarh,Premium,10L-20L,Verified,Paid Search,2026-06-20,Low
1000224,43,20,Hyderabad,Telangana,Mass Market,3L-6L,Rejected,Organic,2021-09-17,Low
1000225,74,32,Chandigarh,Chandigarh,Mass Market,3L-6L,Verified,App Store,2026-02-15,Medium
1000226,55,30,Kolkata,West Bengal,Affluent,<3L,Verified,Referral,2021-02-26,Low
1000227,58,49,Nashik,Maharashtra,Mass Market,6L-10L,Verified,Paid Search,2024-11-16,Low
1000228,27,38,Nagpur,Maharashtra,Mass Market,<3L,Verified,Organic,2024-10-12,Low
1000229,62,32,Lucknow,Uttar Pradesh,Student,3L-6L,Verified,Partner,2019-10-19,Medium
1000230,9,44,Delhi,Delhi,Premium,6L-10L,Verified,Paid Search,2024-10-14,Low
1000231,17,36,Surat,Gujarat,Mass Market,6L-10L,Verified,Paid Search,2019-12-25,High
1000232,19,27,Vadodara,Gujarat,Mass Market,<3L,Pending,Organic,2025-08-25,Low
1000233,40,44,Mumbai,Maharashtra,Mass Market,<3L,Verified,App Store,2021-03-03,Low
1000234,6,20,Coimbatore,Tamil Nadu,Affluent,6L-10L,Verified,Social,2020-12-02,Low
1000235,44,32,Surat,Gujarat,Premium,10L-20L,Verified,App Store,2019-09-26,Low
1000236,75,31,Chandigarh,Chandigarh,Mass Market,<3L,Verified,App Store,2026-02-07,Medium
1000237,34,56,Kochi,Kerala,Mass Market,6L-10L,Verified,Partner,2020-08-03,Medium
1000238,1,20,Jaipur,Rajasthan,Student,<3L,Verified,Partner,2026-05-27,Medium
1000239,24,24,Kolkata,West Bengal,Mass Market,10L-20L,Verified,Partner,2020-05-01,Low
1000240,6,42,Indore,Madhya Pradesh,SME Owner,3L-6L,Verified,Social,2022-05-28,Low
1000241,54,27,Bengaluru,Karnataka,Mass Market,10L-20L,Verified,Partner,2023-04-10,Low
1000242,67,37,Nagpur,Maharashtra,Affluent,<3L,Verified,Partner,2023-09-10,Low
1000243,25,31,Pune,Maharashtra,Mass Market,6L-10L,Verified,App Store,2021-01-19,Low
1000244,26,27,Indore,Madhya Pradesh,Student,20L+,Verified,Paid Search,2024-09-26,Low
1000245,28,35,Indore,Madhya Pradesh,Affluent,6L-10L,Verified,Social,2024-09-01,Low
1000246,31,39,Pune,Maharashtra,Premium,3L-6L,Verified,Partner,2025-09-02,Medium
1000247,59,26,Coimbatore,Tamil Nadu,Mass Market,6L-10L,Verified,Social,2025-10-24,Low
1000248,26,23,Jaipur,Rajasthan,SME Owner,6L-10L,Pending,Paid Search,2020-05-23,High
1000249,33,31,Coimbatore,Tamil Nadu,Affluent,6L-10L,Verified,Referral,2019-11-03,Low
1000250,75,29,Mumbai,Maharashtra,Student,3L-6L,Pending,Paid Search,2020-12-14,Low
1000251,65,39,Delhi,Delhi,Mass Market,3L-6L,Verified,Paid Search,2025-06-02,Low
1000252,79,35,Surat,Gujarat,Mass Market,6L-10L,Verified,App Store,2025-08-17,Low
1000253,31,37,Delhi,Delhi,Affluent,3L-6L,Verified,Organic,2021-02-04,Medium
1000254,79,34,Kolkata,West Bengal,SME Owner,10L-20L,Verified,Paid Search,2024-11-27,Low
1000255,26,29,Kochi,Kerala,Affluent,6L-10L,Verified,Social,2026-07-01,Low
1000256,26,47,Bengaluru,Karnataka,Mass Market,6L-10L,Verified,Referral,2023-06-26,Low
1000257,81,36,Kochi,Kerala,Mass Market,3L-6L,Verified,Paid Search,2021-08-17,Low
1000258,17,19,Bengaluru,Karnataka,SME Owner,6L-10L,Verified,Partner,2021-01-19,Low
1000259,69,38,Delhi,Delhi,Premium,6L-10L,Verified,Partner,2021-06-18,Low
1000260,70,21,Nagpur,Maharashtra,Premium,6L-10L,Verified,Referral,2023-11-17,Medium
1000261,78,38,Coimbatore,Tamil Nadu,Premium,10L-20L,Verified,Social,2019-07-06,Low
1000262,72,46,Delhi,Delhi,Student,20L+,Verified,Social,2025-10-01,High
1000263,70,35,Chennai,Tamil Nadu,Mass Market,6L-10L,Rejected,Paid Search,2024-07-25,Low
1000264,30,53,Bhopal,Madhya Pradesh,Mass Market,3L-6L,Pending,Paid Search,2025-02-19,Medium
1000265,47,22,Visakhapatnam,Andhra Pradesh,Mass Market,3L-6L,Verified,Partner,2024-10-20,High
1000266,49,42,Nagpur,Maharashtra,Premium,3L-6L,Verified,Organic,2020-07-11,Low
1000267,25,31,Jaipur,Rajasthan,Mass Market,<3L,Verified,Paid Search,2019-01-22,Medium
1000268,33,24,Kolkata,West Bengal,Mass Market,20L+,Verified,Organic,2024-02-04,High
1000269,72,48,Indore,Madhya Pradesh,Mass Market,10L-20L,Verified,Organic,2022-11-11,Medium
1000270,2,32,Nagpur,Maharashtra,Affluent,3L-6L,Verified,Paid Search,2026-03-31,Low
1000271,7,34,Chennai,Tamil Nadu,Mass Market,3L-6L,Rejected,App Store,2021-07-26,Medium
1000272,35,34,Mumbai,Maharashtra,Mass Market,10L-20L,Verified,App Store,2026-05-04,High
1000273,65,57,Delhi,Delhi,Mass Market,10L-20L,Verified,Organic,2022-01-05,Low
1000274,76,40,Visakhapatnam,Andhra Pradesh,Student,6L-10L,Verified,Paid Search,2019-05-11,Medium
1000275,58,45,Jaipur,Rajasthan,Affluent,<3L,Verified,Social,2024-02-16,Low
1000276,73,26,Surat,Gujarat,Premium,10L-20L,Verified,Social,2023-10-02,High
